Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
1,Junior Adamu,at AUT,FW,Freiburg,23,2001,17.2,,,,,,,,,,,,,,,2,,,,,,Matches
2,Karim Adeyemi,de GER,"MF,FW",Dortmund,22,2002,15.9,,,,,,,,,,,,,,,6,,,,,,Matches
3,Amine Adli,ma MAR,"MF,FW",Leverkusen,24,2000,8.5,,,,,,,,,,,,,,,0,,,,,,Matches
4,Oladapo Afolayan,eng ENG,"FW,MF",St Pauli,26,1998,18.2,,,,,,,,,,,,,,,1,,,,,,Matches
5,Felix Agu,ng NGA,MF,Werder Bremen,24,1999,19.5,,,,,,,,,,,,,,,0,,,,,,Matches
6,Erik Ahlstrand,se SWE,MF,St Pauli,22,2001,0.5,,,,,,,,,,,,,,,0,,,,,,Matches
7,Kevin Akpoguma,ng NGA,DF,Hoffenheim,29,1995,24.7,,,,,,,,,,,,,,,0,,,,,,Matches
8,Andreas Albers,dk DEN,"FW,MF",St Pauli,34,1990,0.7,,,,,,,,,,,,,,,0,,,,,,Matches
9,Ben Alexander Voll,de GER,GK,St Pauli,23,2000,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
10,Skelly Alvero,fr FRA,MF,Werder Bremen,22,2002,2.6,,,,,,,,,,,,,,,0,,,,,,Matches
11,Aurele Amenda,ch SUI,DF,Eintracht Frankfurt,21,2003,1.1,,,,,,,,,,,,,,,0,,,,,,Matches
12,Nadiem Amiri,de GER,MF,Mainz 05,27,1996,27.5,,,,,,,,,,,,,,,5,,,,,,Matches
13,Mohamed Amoura,dz ALG,"FW,MF",Wolfsburg,24,2000,27.4,,,,,,,,,,,,,,,9,,,,,,Matches
14,Robert Andrich,de GER,"MF,DF",Leverkusen,29,1994,17.8,,,,,,,,,,,,,,,2,,,,,,Matches
15,Waldemar Anton,de GER,DF,Dortmund,28,1996,21.7,,,,,,,,,,,,,,,2,,,,,,Matches
16,Maximilian Arnold,de GER,MF,Wolfsburg,30,1994,26.2,,,,,,,,,,,,,,,5,,,,,,Matches
17,Jann-Fiete Arp,de GER,FW,Holstein Kiel,24,2000,7.9,,,,,,,,,,,,,,,0,,,,,,Matches
18,Arthur,br BRA,"MF,DF",Leverkusen,21,2003,8.4,,,,,,,,,,,,,,,1,,,,,,Matches
19,Noah Atubolu,de GER,GK,Freiburg,22,2002,25.6,,,,,,,,,,,,,,,0,,,,,,Matches
20,Ayman Azhil,ma MAR,MF,Dortmund,23,2001,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
21,Adam Aznou,ma MAR,DF,Bayern Munich,18,2006,0.2,,,,,,,,,,,,,,,0,,,,,,Matches
22,Aliou Badara Baldé,gn GUI,FW,Bochum,21,2002,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
23,Ridle Baku,de GER,MF,RB Leipzig,26,1998,14.2,,,,,,,,,,,,,,,3,,,,,,Matches
24,Ridle Baku,de GER,MF,Wolfsburg,26,1998,13.0,,,,,,,,,,,,,,,1,,,,,,Matches
25,Samuel Bamba,de GER,FW,Bochum,20,2004,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
26,Noahkai Banks,us USA,DF,Augsburg,17,2006,3.1,,,,,,,,,,,,,,,0,,,,,,Matches
27,Scott Banks,sct SCO,MF,St Pauli,22,2001,1.3,,,,,,,,,,,,,,,0,,,,,,Matches
28,Aymen Barkok,ma MAR,MF,Mainz 05,26,1998,0.8,,,,,,,,,,,,,,,0,,,,,,Matches
29,Michy Batshuayi,be BEL,FW,Eintracht Frankfurt,30,1993,3.3,,,,,,,,,,,,,,,0,,,,,,Matches
30,Maximilian Bauer,de GER,DF,Augsburg,24,2000,7.3,,,,,,,,,,,,,,,0,,,,,,Matches
31,Oliver Baumann,de GER,GK,Hoffenheim,34,1990,28.0,,,,,,,,,,,,,,,0,,,,,,Matches
32,Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,24,1999,17.9,,,,,,,,,,,,,,,1,,,,,,Matches
33,Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,30,1994,0.1,,,,,,,,,,,,,,,0,,,,,,Matches
34,Adrian Beck,de GER,"MF,FW",Heidenheim,27,1997,17.8,,,,,,,,,,,,,,,1,,,,,,Matches
35,Timo Becker,de GER,"DF,MF",Holstein Kiel,27,1997,27.2,,,,,,,,,,,,,,,2,,,,,,Matches
36,Hannes Behrens,de GER,DF,Hoffenheim,19,2005,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
37,Kevin Behrens,de GER,FW,Wolfsburg,33,1991,1.9,,,,,,,,,,,,,,,0,,,,,,Matches
38,Maximilian Beier,de GER,"MF,FW",Dortmund,21,2002,17.7,,,,,,,,,,,,,,,5,,,,,,Matches
39,Stefan Bell,de GER,DF,Mainz 05,32,1991,16.0,,,,,,,,,,,,,,,1,,,,,,Matches
40,Jeanuël Belocian,fr FRA,DF,Leverkusen,19,2005,0.8,,,,,,,,,,,,,,,0,,,,,,Matches
41,László Bénes,sk SVK,"MF,FW",Union Berlin,26,1997,6.5,,,,,,,,,,,,,,,1,,,,,,Matches
42,Ramy Bensebaini,dz ALG,DF,Dortmund,29,1995,22.5,,,,,,,,,,,,,,,6,,,,,,Matches
43,Mergim Berisha,de GER,FW,Hoffenheim,26,1998,3.7,,,,,,,,,,,,,,,1,,,,,,Matches
44,Mergim Berisha,de GER,FW,Augsburg,26,1998,0.4,,,,,,,,,,,,,,,0,,,,,,Matches
45,Bernardo,br BRA,DF,Bochum,29,1995,19.8,,,,,,,,,,,,,,,0,,,,,,Matches
46,Alexander Bernhardsson,se SWE,"FW,MF",Holstein Kiel,25,1998,14.0,,,,,,,,,,,,,,,2,,,,,,Matches
47,Matúš Bero,sk SVK,MF,Bochum,28,1995,28.5,,,,,,,,,,,,,,,2,,,,,,Matches
48,Jan-Niklas Beste,de GER,"DF,MF",Freiburg,25,1999,2.4,,,,,,,,,,,,,,,1,,,,,,Matches
49,El Bilal Touré,ml MLI,FW,Stuttgart,22,2001,4.0,,,,,,,,,,,,,,,1,,,,,,Matches
50,Tom Bischof,de GER,MF,Hoffenheim,19,2005,28.4,,,,,,,,,,,,,,,2,,,,,,Matches
51,Leonardo Bittencourt,de GER,MF,Werder Bremen,30,1993,10.9,,,,,,,,,,,,,,,1,,,,,,Matches
52,Myron Boadu,nl NED,FW,Bochum,23,2001,11.6,,,,,,,,,,,,,,,1,,,,,,Matches
53,Sacha Boey,fr FRA,DF,Bayern Munich,23,2000,6.6,,,,,,,,,,,,,,,2,,,,,,Matches
54,Victor Boniface,ng NGA,FW,Leverkusen,23,2000,11.2,,,,,,,,,,,,,,,1,,,,,,Matches
55,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,25,1999,8.8,,,,,,,,,,,,,,,1,,,,,,Matches
56,Carlo Boukhalfa,ma MAR,MF,St Pauli,25,1999,18.3,,,,,,,,,,,,,,,0,,,,,,Matches
57,Julian Brandt,de GER,MF,Dortmund,28,1996,25.6,,,,,,,,,,,,,,,10,,,,,,Matches
58,Tim Breithaupt,de GER,MF,Augsburg,22,2002,1.3,,,,,,,,,,,,,,,1,,,,,,Matches
59,Maximilian Breunig,de GER,FW,Heidenheim,23,2000,3.9,,,,,,,,,,,,,,,0,,,,,,Matches
60,Moritz Broschinski,de GER,"FW,MF",Bochum,23,2000,15.4,,,,,,,,,,,,,,,3,,,,,,Matches
61,Nathaniel Brown,de GER,"MF,DF",Eintracht Frankfurt,21,2003,21.6,,,,,,,,,,,,,,,6,,,,,,Matches
62,Jacob Bruun Larsen,dk DEN,"MF,FW",Hoffenheim,25,1998,4.4,,,,,,,,,,,,,,,2,,,,,,Matches
63,Jacob Bruun Larsen,dk DEN,MF,Stuttgart,25,1998,4.6,,,,,,,,,,,,,,,0,,,,,,Matches
64,Emi Buendía,ar ARG,MF,Leverkusen,27,1996,2.9,,,,,,,,,,,,,,,0,,,,,,Matches
65,Marius Bülter,de GER,"MF,FW",Hoffenheim,31,1993,19.2,,,,,,,,,,,,,,,2,,,,,,Matches
66,Jonathan Burkardt,de GER,FW,Mainz 05,24,2000,23.4,,,,,,,,,,,,,,,2,,,,,,Matches
67,Oliver Burke,sct SCO,FW,Werder Bremen,27,1997,10.1,,,,,,,,,,,,,,,0,,,,,,Matches
68,Marnon Busch,de GER,"DF,MF",Heidenheim,29,1994,15.5,,,,,,,,,,,,,,,1,,,,,,Matches
69,Anthony Caci,fr FRA,MF,Mainz 05,27,1997,29.8,,,,,,,,,,,,,,,7,,,,,,Matches
70,Cole Campbell,us USA,FW,Dortmund,18,2006,0.2,,,,,,,,,,,,,,,0,,,,,,Matches
71,Emre Can,de GER,"DF,MF",Dortmund,30,1994,23.4,,,,,,,,,,,,,,,0,,,,,,Matches
72,Tiago Cardoso,lu LUX,GK,Gladbach,18,2006,4.2,,,,,,,,,,,,,,,0,,,,,,Matches
73,Abdoulie Ceesay,gm GAM,FW,St Pauli,20,2004,0.7,,,,,,,,,,,,,,,0,,,,,,Matches
74,Julian Chabot,de GER,DF,Stuttgart,26,1998,25.2,,,,,,,,,,,,,,,1,,,,,,Matches
75,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,19,2005,12.6,,,,,,,,,,,,,,,0,,,,,,Matches
76,Fares Chaïbi,dz ALG,MF,Eintracht Frankfurt,21,2002,11.3,,,,,,,,,,,,,,,3,,,,,,Matches
77,Timothy Chandler,us USA,"DF,MF",Eintracht Frankfurt,34,1990,0.3,,,,,,,,,,,,,,,0,,,,,,Matches
78,Anrie Chase,jp JPN,DF,Stuttgart,20,2004,8.2,,,,,,,,,,,,,,,0,,,,,,Matches
79,Arthur Chaves,br BRA,DF,Hoffenheim,23,2001,24.3,,,,,,,,,,,,,,,0,,,,,,Matches
80,Fabio Chiarodia,it ITA,DF,Gladbach,19,2005,4.2,,,,,,,,,,,,,,,0,,,,,,Matches
81,Carney Chukwuemeka,eng ENG,MF,Dortmund,20,2003,2.8,,,,,,,,,,,,,,,0,,,,,,Matches
82,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,26,1998,23.4,,,,,,,,,,,,,,,2,,,,,,Matches
83,Nnamdi Collins,de GER,"DF,MF",Eintracht Frankfurt,20,2004,16.5,,,,,,,,,,,,,,,1,,,,,,Matches
84,Kingsley Coman,fr FRA,MF,Bayern Munich,28,1996,14.2,,,,,,,,,,,,,,,4,,,,,,Matches
85,Sirlord Conteh,de GER,"MF,FW",Heidenheim,28,1996,9.9,,,,,,,,,,,,,,,1,,,,,,Matches
86,Danny da Costa,de GER,DF,Mainz 05,31,1993,22.3,,,,,,,,,,,,,,,1,,,,,,Matches
87,Yan Couto,br BRA,"DF,MF",Dortmund,22,2002,9.9,,,,,,,,,,,,,,,0,,,,,,Matches
88,Tomáš Čvančara,cz CZE,"MF,FW",Gladbach,23,2000,9.2,,,,,,,,,,,,,,,0,,,,,,Matches
89,Finn Dahmen,de GER,GK,Augsburg,26,1998,19.0,,,,,,,,,,,,,,,0,,,,,,Matches
90,Thomas Dähne,de GER,GK,Holstein Kiel,30,1994,9.0,,,,,,,,,,,,,,,0,,,,,,Matches
91,Mahmoud Dahoud,de GER,MF,Eintracht Frankfurt,28,1996,4.0,,,,,,,,,,,,,,,1,,,,,,Matches
92,Ameen Al-Dakhil,be BEL,DF,Stuttgart,22,2002,4.8,,,,,,,,,,,,,,,0,,,,,,Matches
93,Bence Dárdai,hu HUN,MF,Wolfsburg,18,2006,14.5,,,,,,,,,,,,,,,1,,,,,,Matches
94,Lukas Daschner,de GER,"FW,MF",Bochum,25,1998,4.6,,,,,,,,,,,,,,,1,,,,,,Matches
95,Alphonso Davies,ca CAN,DF,Bayern Munich,23,2000,17.3,,,,,,,,,,,,,,,2,,,,,,Matches
96,Olivier Deman,be BEL,"DF,FW",Werder Bremen,24,2000,0.7,,,,,,,,,,,,,,,0,,,,,,Matches
97,Ermedin Demirović,ba BIH,FW,Stuttgart,26,1998,20.6,,,,,,,,,,,,,,,1,,,,,,Matches
98,Justin Diehl,de GER,MF,Stuttgart,19,2004,1.2,,,,,,,,,,,,,,,0,,,,,,Matches
99,Eric Dier,eng ENG,DF,Bayern Munich,30,1994,16.3,,,,,,,,,,,,,,,1,,,,,,Matches
100,Junior Dina Ebimbe,cm CMR,MF,Eintracht Frankfurt,23,2000,3.3,,,,,,,,,,,,,,,1,,,,,,Matches
101,Eren Dinkçi,de GER,MF,Freiburg,22,2001,13.3,,,,,,,,,,,,,,,3,,,,,,Matches
102,Ritsu Doan,jp JPN,MF,Freiburg,26,1998,31.8,,,,,,,,,,,,,,,7,,,,,,Matches
103,Danilho Doekhi,nl NED,DF,Union Berlin,26,1998,34.0,,,,,,,,,,,,,,,1,,,,,,Matches
104,Niklas Dorsch,de GER,MF,Augsburg,26,1998,0.4,,,,,,,,,,,,,,,0,,,,,,Matches
105,Niklas Dorsch,de GER,MF,Heidenheim,26,1998,14.8,,,,,,,,,,,,,,,2,,,,,,Matches
106,Patrick Drewes,de GER,GK,Bochum,31,1993,21.0,,,,,,,,,,,,,,,0,,,,,,Matches
107,Tim Drexler,de GER,DF,Hoffenheim,19,2005,4.0,,,,,,,,,,,,,,,0,,,,,,Matches
108,Marvin Ducksch,de GER,FW,Werder Bremen,30,1994,26.9,,,,,,,,,,,,,,,8,,,,,,Matches
109,Julien Duranville,be BEL,MF,Dortmund,18,2006,3.1,,,,,,,,,,,,,,,0,,,,,,Matches
110,Adam Dźwigała,pl POL,DF,St Pauli,28,1995,4.1,,,,,,,,,,,,,,,0,,,,,,Matches
111,Johannes Eggestein,de GER,FW,St Pauli,26,1998,20.6,,,,,,,,,,,,,,,4,,,,,,Matches
112,Maximilian Eggestein,de GER,MF,Freiburg,27,1996,31.6,,,,,,,,,,,,,,,0,,,,,,Matches
113,Hugo Ekitike,fr FRA,FW,Eintracht Frankfurt,22,2002,28.5,,,,,,,,,,,,,,,8,,,,,,Matches
114,Elif Elmas,mk MKD,"FW,MF",RB Leipzig,24,1999,0.5,,,,,,,,,,,,,,,0,,,,,,Matches
115,Nico Elvedi,ch SUI,DF,Gladbach,27,1996,23.7,,,,,,,,,,,,,,,1,,,,,,Matches
116,Arne Engels,be BEL,FW,Augsburg,20,2003,0.9,,,,,,,,,,,,,,,0,,,,,,Matches
117,Patrick Erras,de GER,DF,Holstein Kiel,29,1995,9.2,,,,,,,,,,,,,,,0,,,,,,Matches
118,Samuel Essende,cd COD,FW,Augsburg,26,1998,18.2,,,,,,,,,,,,,,,2,,,,,,Matches
119,Frank Feller,de GER,GK,Heidenheim,20,2004,1.3,,,,,,,,,,,,,,,0,,,,,,Matches
120,Kilian Fischer,de GER,DF,Wolfsburg,23,2000,25.5,,,,,,,,,,,,,,,0,,,,,,Matches
121,Jonas Föhrenbach,de GER,"DF,MF",Heidenheim,28,1996,20.4,,,,,,,,,,,,,,,1,,,,,,Matches
122,Marco Friedl,at AUT,DF,Werder Bremen,26,1998,24.0,,,,,,,,,,,,,,,0,,,,,,Matches
123,Marvin Friedrich,de GER,DF,Gladbach,28,1995,11.0,,,,,,,,,,,,,,,1,,,,,,Matches
124,Jeremie Frimpong,nl NED,MF,Leverkusen,23,2000,25.7,,,,,,,,,,,,,,,5,,,,,,Matches
125,Chris Führich,de GER,MF,Stuttgart,26,1998,22.0,,,,,,,,,,,,,,,3,,,,,,Matches
126,Shiō Fukuda,jp JPN,FW,Gladbach,20,2004,0.7,,,,,,,,,,,,,,,0,,,,,,Matches
127,Cristian Gamboa,cr CRC,MF,Bochum,34,1989,2.5,,,,,,,,,,,,,,,0,,,,,,Matches
128,Aleix García,es ESP,MF,Leverkusen,27,1997,16.2,,,,,,,,,,,,,,,4,,,,,,Matches
129,Viggo Gebel,de GER,MF,RB Leipzig,16,2007,0.2,,,,,,,,,,,,,,,0,,,,,,Matches
130,Lutsharel Geertruida,nl NED,DF,RB Leipzig,24,2000,17.3,,,,,,,,,,,,,,,0,,,,,,Matches
131,Dennis Geiger,de GER,MF,Hoffenheim,26,1998,8.2,,,,,,,,,,,,,,,0,,,,,,Matches
132,Valentin Gendrey,fr FRA,"DF,MF",Hoffenheim,24,2000,15.7,,,,,,,,,,,,,,,1,,,,,,Matches
133,Yannick Gerhardt,de GER,"MF,DF",Wolfsburg,30,1994,16.9,,,,,,,,,,,,,,,1,,,,,,Matches
134,Max Geschwill,de GER,DF,Holstein Kiel,23,2001,14.2,,,,,,,,,,,,,,,2,,,,,,Matches
135,Dimitris Giannoulis,gr GRE,MF,Augsburg,28,1995,29.4,,,,,,,,,,,,,,,4,,,,,,Matches
136,Armin Gigovic,ba BIH,MF,Holstein Kiel,22,2002,21.1,,,,,,,,,,,,,,,1,,,,,,Matches
137,Benedikt Gimber,de GER,DF,Heidenheim,27,1997,29.7,,,,,,,,,,,,,,,0,,,,,,Matches
138,Matthias Ginter,de GER,DF,Freiburg,30,1994,28.5,,,,,,,,,,,,,,,1,,,,,,Matches
139,Jamie Gittens,eng ENG,MF,Dortmund,19,2004,19.7,,,,,,,,,,,,,,,3,,,,,,Matches
140,Serge Gnabry,de GER,"MF,FW",Bayern Munich,29,1995,13.8,,,,,,,,,,,,,,,5,,,,,,Matches
141,Tidiam Gomis,fr FRA,FW,RB Leipzig,17,2006,1.7,,,,,,,,,,,,,,,1,,,,,,Matches
142,Leon Goretzka,de GER,MF,Bayern Munich,29,1995,14.7,,,,,,,,,,,,,,,1,,,,,,Matches
143,Robin Gosens,de GER,MF,Union Berlin,30,1994,1.0,,,,,,,,,,,,,,,0,,,,,,Matches
144,Mario Götze,de GER,MF,Eintracht Frankfurt,32,1992,17.1,,,,,,,,,,,,,,,2,,,,,,Matches
145,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,33,1991,32.7,,,,,,,,,,,,,,,4,,,,,,Matches
146,Kamil Grabara,pl POL,GK,Wolfsburg,25,1999,28.7,,,,,,,,,,,,,,,0,,,,,,Matches
147,Michael Gregoritsch,at AUT,FW,Freiburg,30,1994,7.1,,,,,,,,,,,,,,,1,,,,,,Matches
148,Vincenzo Grifo,it ITA,MF,Freiburg,31,1993,27.0,,,,,,,,,,,,,,,11,,,,,,Matches
149,Florian Grillitsch,at AUT,"MF,DF",Hoffenheim,28,1995,6.7,,,,,,,,,,,,,,,0,,,,,,Matches
150,Álex Grimaldo,es ESP,MF,Leverkusen,28,1995,29.3,,,,,,,,,,,,,,,7,,,,,,Matches
151,Pascal Groß,de GER,"MF,DF",Dortmund,33,1991,25.9,,,,,,,,,,,,,,,9,,,,,,Matches
152,Marco Grüll,at AUT,"FW,MF",Werder Bremen,26,1998,13.1,,,,,,,,,,,,,,,1,,,,,,Matches
153,Raphaël Guerreiro,pt POR,"DF,MF",Bayern Munich,30,1993,17.5,,,,,,,,,,,,,,,4,,,,,,Matches
154,Morgan Guilavogui,gn GUI,"FW,MF",St Pauli,26,1998,20.1,,,,,,,,,,,,,,,2,,,,,,Matches
155,Serhou Guirassy,gn GUI,FW,Dortmund,28,1996,28.9,,,,,,,,,,,,,,,4,,,,,,Matches
156,Péter Gulácsi,hu HUN,GK,RB Leipzig,34,1990,29.2,,,,,,,,,,,,,,,0,,,,,,Matches
157,Robert Gumny,pl POL,MF,Augsburg,26,1998,3.0,,,,,,,,,,,,,,,0,,,,,,Matches
158,Christian Günter,de GER,DF,Freiburg,31,1993,25.7,,,,,,,,,,,,,,,2,,,,,,Matches
159,Janik Haberer,de GER,MF,Union Berlin,30,1994,18.8,,,,,,,,,,,,,,,0,,,,,,Matches
160,Robin Hack,de GER,MF,Gladbach,25,1998,24.1,,,,,,,,,,,,,,,7,,,,,,Matches
161,Amadou Haidara,ml MLI,MF,RB Leipzig,26,1998,14.7,,,,,,,,,,,,,,,1,,,,,,Matches
162,Andreas Hanche-Olsen,no NOR,DF,Mainz 05,27,1997,14.3,,,,,,,,,,,,,,,1,,,,,,Matches
163,Phil Harres,de GER,FW,Holstein Kiel,22,2002,17.2,,,,,,,,,,,,,,,1,,,,,,Matches
