Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
384,Christopher Nkunku,fr FRA,"MF,FW",Chelsea,26,1997,10.2,,,,,,,,,,,,,,,,,,,,,Matches
385,Gustavo Nunes,br BRA,MF,Brentford,18,2005,0.1,,,,,,,,,,,,,,,,,,,,,Matches
386,Matheus Nunes,pt POR,"DF,MF",Manchester City,25,1998,18.6,,,,,,,,,,,,,,,,,,,,,Matches
387,Darwin Núñez,uy URU,FW,Liverpool,25,1999,12.6,,,,,,,,,,,,,,,,,,,,,Matches
388,Ethan Nwaneri,eng ENG,"FW,MF",Arsenal,17,2007,9.9,,,,,,,,,,,,,,,,,,,,,Matches
389,Christian Nørgaard,dk DEN,MF,Brentford,30,1994,31.3,,,,,,,,,,,,,,,,,,,,,Matches
390,Jake O'Brien,ie IRL,DF,Everton,23,2001,17.5,,,,,,,,,,,,,,,,,,,,,Matches
391,Matt O'Riley,dk DEN,MF,Brighton,23,2000,10.4,,,,,,,,,,,,,,,,,,,,,Matches
392,Dara O'Shea,ie IRL,DF,Ipswich Town,25,1999,34.7,,,,,,,,,,,,,,,,,,,,,Matches
393,Chidozie Obi-Martin,dk DEN,FW,Manchester Utd,16,2007,1.8,,,,,,,,,,,,,,,,,,,,,Matches
394,Wilson Odobert,fr FRA,"FW,MF",Tottenham Hotspur,19,2004,9.4,,,,,,,,,,,,,,,,,,,,,Matches
395,Chiedozie Ogbene,ie IRL,MF,Ipswich Town,27,1997,2.6,,,,,,,,,,,,,,,,,,,,,Matches
396,Caleb Okoli,it ITA,DF,Leicester City,23,2001,12.5,,,,,,,,,,,,,,,,,,,,,Matches
397,Robin Olsen,se SWE,GK,Aston Villa,34,1990,2.5,,,,,,,,,,,,,,,,,,,,,Matches
398,Amadou Onana,be BEL,MF,Aston Villa,22,2001,18.0,,,,,,,,,,,,,,,,,,,,,Matches
399,André Onana,cm CMR,GK,Manchester Utd,28,1996,34.0,,,,,,,,,,,,,,,,,,,,,Matches
400,Paul Onuachu,ng NGA,FW,Southampton,30,1994,11.7,,,,,,,,,,,,,,,,,,,,,Matches
401,Frank Onyeka,ng NGA,MF,Brentford,26,1998,0.3,,,,,,,,,,,,,,,,,,,,,Matches
402,Lewis Orford,eng ENG,MF,West Ham United,18,2006,0.5,,,,,,,,,,,,,,,,,,,,,Matches
403,Stefan Ortega,de GER,GK,Manchester City,31,1992,12.2,,,,,,,,,,,,,,,,,,,,,Matches
404,William Osula,dk DEN,FW,Newcastle United,20,2003,1.5,,,,,,,,,,,,,,,,,,,,,Matches
405,Dango Ouattara,bf BFA,"MF,FW",Bournemouth,22,2002,22.3,,,,,,,,,,,,,,,,,,,,,Matches
406,Nico O’Reilly,eng ENG,DF,Manchester City,19,2005,5.9,,,,,,,,,,,,,,,,,,,,,Matches
407,Alex Palmer,eng ENG,GK,Ipswich Town,27,1996,13.0,,,,,,,,,,,,,,,,,,,,,Matches
408,Cole Palmer,eng ENG,MF,Chelsea,22,2002,35.5,,,,,,,,,,,,,,,,,,,,,Matches
409,Emerson Palmieri,it ITA,"DF,MF",West Ham United,29,1994,23.5,,,,,,,,,,,,,,,,,,,,,Matches
410,Lucas Paquetá,br BRA,"MF,FW",West Ham United,26,1997,26.4,,,,,,,,,,,,,,,,,,,,,Matches
411,Thomas Partey,gh GHA,"MF,DF",Arsenal,31,1993,31.1,,,,,,,,,,,,,,,,,,,,,Matches
412,Nathan Patterson,sct SCO,DF,Everton,22,2001,3.9,,,,,,,,,,,,,,,,,,,,,Matches
413,Andreas Pereira,br BRA,MF,Fulham,28,1996,22.4,,,,,,,,,,,,,,,,,,,,,Matches
414,Ricardo Pereira,pt POR,DF,Leicester City,30,1993,4.3,,,,,,,,,,,,,,,,,,,,,Matches
415,Kalvin Phillips,eng ENG,MF,Ipswich Town,28,1995,13.7,,,,,,,,,,,,,,,,,,,,,Matches
416,Jaden Philogene Bidace,eng ENG,MF,Aston Villa,22,2002,3.7,,,,,,,,,,,,,,,,,,,,,Matches
417,Jaden Philogene Bidace,eng ENG,MF,Ipswich Town,22,2002,5.3,,,,,,,,,,,,,,,,,,,,,Matches
418,Jordan Pickford,eng ENG,GK,Everton,30,1994,38.0,,,,,,,,,,,,,,,,,,,,,Matches
419,Ethan Pinnock,jm JAM,DF,Brentford,31,1993,21.3,,,,,,,,,,,,,,,,,,,,,Matches
420,Daniel Podence,pt POR,"FW,MF",Wolves,28,1995,0.5,,,,,,,,,,,,,,,,,,,,,Matches
421,Alfie Pond,eng ENG,DF,Wolves,20,2004,0.0,,,,,,,,,,,,,,,,,,,,,Matches
422,Nick Pope,eng ENG,GK,Newcastle United,32,1992,28.0,,,,,,,,,,,,,,,,,,,,,Matches
423,Pedro Porro,es ESP,DF,Tottenham Hotspur,24,1999,29.0,,,,,,,,,,,,,,,,,,,,,Matches
424,Jarell Quansah,eng ENG,DF,Liverpool,21,2003,5.5,,,,,,,,,,,,,,,,,,,,,Matches
425,Aaron Ramsdale,eng ENG,GK,Southampton,26,1998,30.0,,,,,,,,,,,,,,,,,,,,,Matches
426,Jacob Ramsey,eng ENG,MF,Aston Villa,23,2001,18.0,,,,,,,,,,,,,,,,,,,,,Matches
427,Marcus Rashford,eng ENG,"FW,MF",Aston Villa,26,1997,4.9,,,,,,,,,,,,,,,,,,,,,Matches
428,Marcus Rashford,eng ENG,MF,Manchester Utd,26,1997,10.9,,,,,,,,,,,,,,,,,,,,,Matches
429,David Raya,es ESP,GK,Arsenal,28,1995,38.0,,,,,,,,,,,,,,,,,,,,,Matches
430,Harrison Reed,eng ENG,MF,Fulham,29,1995,1.2,,,,,,,,,,,,,,,,,,,,,Matches
431,Remy Rees-Dottin,eng ENG,FW,Bournemouth,18,2006,0.0,,,,,,,,,,,,,,,,,,,,,Matches
432,Sergio Reguilón,es ESP,DF,Tottenham Hotspur,27,1996,2.2,,,,,,,,,,,,,,,,,,,,,Matches
433,Vitor Reis,br BRA,DF,Manchester City,18,2006,0.0,,,,,,,,,,,,,,,,,,,,,Matches
434,Chadi Riad,ma MAR,DF,Crystal Palace,21,2003,1.0,,,,,,,,,,,,,,,,,,,,,Matches
435,Declan Rice,eng ENG,MF,Arsenal,25,1999,31.4,,,,,,,,,,,,,,,,,,,,,Matches
436,Chris Richards,us USA,DF,Crystal Palace,24,2000,21.4,,,,,,,,,,,,,,,,,,,,,Matches
437,Richarlison,br BRA,FW,Tottenham Hotspur,27,1997,5.6,,,,,,,,,,,,,,,,,,,,,Matches
438,Andrew Robertson,sct SCO,DF,Liverpool,30,1994,27.6,,,,,,,,,,,,,,,,,,,,,Matches
439,Antonee Robinson,us USA,"DF,MF",Fulham,26,1997,35.2,,,,,,,,,,,,,,,,,,,,,Matches
440,Jay Robinson,eng ENG,MF,Southampton,17,2007,1.5,,,,,,,,,,,,,,,,,,,,,Matches
441,Rodri,es ESP,MF,Manchester City,28,1996,0.8,,,,,,,,,,,,,,,,,,,,,Matches
442,Guido Rodríguez,ar ARG,MF,West Ham United,30,1994,12.8,,,,,,,,,,,,,,,,,,,,,Matches
443,Mads Roerslev,dk DEN,DF,Brentford,25,1999,12.2,,,,,,,,,,,,,,,,,,,,,Matches
444,Morgan Rogers,eng ENG,MF,Aston Villa,22,2002,34.6,,,,,,,,,,,,,,,,,,,,,Matches
445,Cristian Romero,ar ARG,DF,Tottenham Hotspur,26,1998,15.7,,,,,,,,,,,,,,,,,,,,,Matches
446,Georginio Rutter,fr FRA,"MF,FW",Brighton,22,2002,18.4,,,,,,,,,,,,,,,,,,,,,Matches
447,José Sá,pt POR,GK,Wolves,31,1993,29.0,,,,,,,,,,,,,,,,,,,,,Matches
448,Bukayo Saka,eng ENG,"FW,MF",Arsenal,22,2001,19.2,,,,,,,,,,,,,,,,,,,,,Matches
449,Mohamed Salah,eg EGY,MF,Liverpool,32,1992,37.5,,,,,,,,,,,,,,,,,,,,,Matches
450,William Saliba,fr FRA,DF,Arsenal,23,2001,33.8,,,,,,,,,,,,,,,,,,,,,Matches
451,Robert Sánchez,es ESP,GK,Chelsea,26,1997,32.0,,,,,,,,,,,,,,,,,,,,,Matches
452,Jadon Sancho,eng ENG,MF,Chelsea,24,2000,19.6,,,,,,,,,,,,,,,,,,,,,Matches
453,Ibrahim Sangaré,ci CIV,MF,Nottingham Forest,26,1997,6.6,,,,,,,,,,,,,,,,,,,,,Matches
454,Pablo Sarabia,es ESP,MF,Wolves,32,1992,9.0,,,,,,,,,,,,,,,,,,,,,Matches
455,Jeremy Sarmiento,ec ECU,MF,Brighton,22,2002,0.1,,,,,,,,,,,,,,,,,,,,,Matches
456,Ismaila Sarr,sn SEN,MF,Crystal Palace,26,1998,30.1,,,,,,,,,,,,,,,,,,,,,Matches
457,Sávio,br BRA,"MF,FW",Manchester City,20,2004,19.6,,,,,,,,,,,,,,,,,,,,,Matches
458,Oliver Scarles,eng ENG,"MF,DF",West Ham United,18,2005,7.4,,,,,,,,,,,,,,,,,,,,,Matches
459,Dane Scarlett,eng ENG,FW,Tottenham Hotspur,20,2004,0.4,,,,,,,,,,,,,,,,,,,,,Matches
460,Kevin Schade,de GER,"MF,FW",Brentford,22,2001,25.5,,,,,,,,,,,,,,,,,,,,,Matches
461,Fabian Schär,ch SUI,DF,Newcastle United,32,1991,32.6,,,,,,,,,,,,,,,,,,,,,Matches
462,Jeffrey Schlupp,gh GHA,"DF,FW",Crystal Palace,31,1992,1.1,,,,,,,,,,,,,,,,,,,,,Matches
463,Alex Scott,eng ENG,MF,Bournemouth,20,2003,8.4,,,,,,,,,,,,,,,,,,,,,Matches
464,Matz Sels,be BEL,GK,Nottingham Forest,32,1992,38.0,,,,,,,,,,,,,,,,,,,,,Matches
465,Nélson Semedo,pt POR,"MF,DF",Wolves,30,1993,32.1,,,,,,,,,,,,,,,,,,,,,Matches
466,Antoine Semenyo,gh GHA,MF,Bournemouth,24,2000,35.6,,,,,,,,,,,,,,,,,,,,,Matches
467,Marcos Senesi,ar ARG,DF,Bournemouth,27,1997,12.3,,,,,,,,,,,,,,,,,,,,,Matches
468,Ryan Sessegnon,eng ENG,"MF,DF",Fulham,24,2000,6.4,,,,,,,,,,,,,,,,,,,,,Matches
469,Luke Shaw,eng ENG,DF,Manchester Utd,29,1995,3.9,,,,,,,,,,,,,,,,,,,,,Matches
470,Zain Silcott-Duberry,ms MSR,MF,Bournemouth,19,2005,0.0,,,,,,,,,,,,,,,,,,,,,Matches
471,Bernardo Silva,pt POR,MF,Manchester City,29,1994,29.7,,,,,,,,,,,,,,,,,,,,,Matches
472,Jota Silva,pt POR,MF,Nottingham Forest,24,1999,9.5,,,,,,,,,,,,,,,,,,,,,Matches
473,Eric da Silva Moreira,de GER,DF,Nottingham Forest,18,2006,0.3,,,,,,,,,,,,,,,,,,,,,Matches
474,Jahmai Simpson-Pusey,eng ENG,DF,Manchester City,18,2005,1.1,,,,,,,,,,,,,,,,,,,,,Matches
475,Luis Sinisterra,co COL,MF,Bournemouth,25,1999,2.6,,,,,,,,,,,,,,,,,,,,,Matches
476,Oliver Skipp,eng ENG,MF,Leicester City,23,2000,12.5,,,,,,,,,,,,,,,,,,,,,Matches
477,William Smallbone,ie IRL,MF,Southampton,24,2000,7.7,,,,,,,,,,,,,,,,,,,,,Matches
478,Adam Smith,eng ENG,DF,Bournemouth,33,1991,17.7,,,,,,,,,,,,,,,,,,,,,Matches
479,Emile Smith Rowe,eng ENG,MF,Fulham,24,2000,22.7,,,,,,,,,,,,,,,,,,,,,Matches
480,Dominic Solanke,eng ENG,FW,Tottenham Hotspur,26,1997,24.5,,,,,,,,,,,,,,,,,,,,,Matches
481,Carlos Soler,es ESP,MF,West Ham United,27,1997,15.7,,,,,,,,,,,,,,,,,,,,,Matches
482,Julio Soler,ar ARG,DF,Bournemouth,19,2005,0.1,,,,,,,,,,,,,,,,,,,,,Matches
483,Ramón Sosa,py PAR,MF,Nottingham Forest,24,1999,3.3,,,,,,,,,,,,,,,,,,,,,Matches
484,Tomáš Souček,cz CZE,MF,West Ham United,29,1995,28.5,,,,,,,,,,,,,,,,,,,,,Matches
485,Boubakary Soumaré,fr FRA,MF,Leicester City,25,1999,24.1,,,,,,,,,,,,,,,,,,,,,Matches
486,Djed Spence,eng ENG,DF,Tottenham Hotspur,23,2000,19.9,,,,,,,,,,,,,,,,,,,,,Matches
487,Jay Stansfield,eng ENG,"FW,MF",Fulham,21,2002,0.0,,,,,,,,,,,,,,,,,,,,,Matches
488,Jason Steele,eng ENG,GK,Brighton,33,1990,2.0,,,,,,,,,,,,,,,,,,,,,Matches
489,Jack Stephens,eng ENG,DF,Southampton,30,1994,15.4,,,,,,,,,,,,,,,,,,,,,Matches
490,Raheem Sterling,eng ENG,"FW,MF",Arsenal,29,1994,5.5,,,,,,,,,,,,,,,,,,,,,Matches
491,Ross Stewart,sct SCO,FW,Southampton,28,1996,4.3,,,,,,,,,,,,,,,,,,,,,Matches
492,Jakub Stolarczyk,pl POL,GK,Leicester City,23,2000,10.0,,,,,,,,,,,,,,,,,,,,,Matches
493,John Stones,eng ENG,DF,Manchester City,30,1994,6.1,,,,,,,,,,,,,,,,,,,,,Matches
494,Jørgen Strand Larsen,no NOR,FW,Wolves,24,2000,28.7,,,,,,,,,,,,,,,,,,,,,Matches
495,Yukinari Sugawara,jp JPN,"MF,DF",Southampton,24,2000,17.3,,,,,,,,,,,,,,,,,,,,,Matches
496,Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,22,2002,15.6,,,,,,,,,,,,,,,,,,,,,Matches
497,Crysencio Summerville,nl NED,"MF,FW",West Ham United,22,2001,8.7,,,,,,,,,,,,,,,,,,,,,Matches
498,Sammie Szmodics,ie IRL,MF,Ipswich Town,28,1995,11.0,,,,,,,,,,,,,,,,,,,,,Matches
499,Dominik Szoboszlai,hu HUN,MF,Liverpool,23,2000,27.7,,,,,,,,,,,,,,,,,,,,,Matches
500,Matt Targett,eng ENG,"DF,MF",Newcastle United,28,1995,0.2,,,,,,,,,,,,,,,,,,,,,Matches
501,James Tarkowski,eng ENG,DF,Everton,31,1992,32.5,,,,,,,,,,,,,,,,,,,,,Matches
502,Marcus Tavernier,eng ENG,MF,Bournemouth,25,1999,21.5,,,,,,,,,,,,,,,,,,,,,Matches
503,Charlie Taylor,eng ENG,DF,Southampton,30,1993,4.0,,,,,,,,,,,,,,,,,,,,,Matches
504,Jack Taylor,ie IRL,MF,Ipswich Town,26,1998,9.6,,,,,,,,,,,,,,,,,,,,,Matches
505,Mathys Tel,fr FRA,FW,Tottenham Hotspur,19,2005,10.1,,,,,,,,,,,,,,,,,,,,,Matches
506,Kenny Tete,nl NED,DF,Fulham,28,1995,19.7,,,,,,,,,,,,,,,,,,,,,Matches
507,Thiago,br BRA,FW,Brentford,23,2001,1.9,,,,,,,,,,,,,,,,,,,,,Matches
508,Luke Thomas,eng ENG,DF,Leicester City,23,2001,12.3,,,,,,,,,,,,,,,,,,,,,Matches
509,Youri Tielemans,be BEL,MF,Aston Villa,27,1997,33.6,,,,,,,,,,,,,,,,,,,,,Matches
510,Kieran Tierney,sct SCO,DF,Arsenal,27,1997,2.9,,,,,,,,,,,,,,,,,,,,,Matches
511,Jurriën Timber,nl NED,DF,Arsenal,23,2001,26.9,,,,,,,,,,,,,,,,,,,,,Matches
512,Jean-Clair Todibo,fr FRA,DF,West Ham United,24,1999,20.3,,,,,,,,,,,,,,,,,,,,,Matches
513,Harry Toffolo,eng ENG,DF,Nottingham Forest,28,1995,1.5,,,,,,,,,,,,,,,,,,,,,Matches
514,Takehiro Tomiyasu,jp JPN,DF,Arsenal,25,1998,0.1,,,,,,,,,,,,,,,,,,,,,Matches
515,Sandro Tonali,it ITA,MF,Newcastle United,24,2000,29.2,,,,,,,,,,,,,,,,,,,,,Matches
516,Pau Torres,es ESP,DF,Aston Villa,27,1997,22.4,,,,,,,,,,,,,,,,,,,,,Matches
517,Conor Townsend,eng ENG,DF,Ipswich Town,31,1993,3.7,,,,,,,,,,,,,,,,,,,,,Matches
518,Adama Traoré,es ESP,MF,Fulham,28,1996,19.7,,,,,,,,,,,,,,,,,,,,,Matches
519,Boubacar Traoré,ml MLI,MF,Wolves,22,2001,0.0,,,,,,,,,,,,,,,,,,,,,Matches
520,Mark Travers,ie IRL,GK,Bournemouth,25,1999,5.0,,,,,,,,,,,,,,,,,,,,,Matches
521,Ryan Trevitt,eng ENG,MF,Brentford,21,2003,0.0,,,,,,,,,,,,,,,,,,,,,Matches
522,Kieran Trippier,eng ENG,DF,Newcastle United,33,1990,14.5,,,,,,,,,,,,,,,,,,,,,Matches
523,Leandro Trossard,be BEL,FW,Arsenal,29,1994,28.3,,,,,,,,,,,,,,,,,,,,,Matches
524,Kostas Tsimikas,gr GRE,DF,Liverpool,28,1996,9.3,,,,,,,,,,,,,,,,,,,,,Matches
525,Axel Tuanzebe,cd COD,DF,Ipswich Town,26,1997,19.0,,,,,,,,,,,,,,,,,,,,,Matches
526,Destiny Udogie,it ITA,DF,Tottenham Hotspur,21,2002,21.4,,,,,,,,,,,,,,,,,,,,,Matches
527,Manuel Ugarte,uy URU,MF,Manchester Utd,23,2001,19.8,,,,,,,,,,,,,,,,,,,,,Matches
528,Lesley Ugochukwu,fr FRA,MF,Southampton,20,2004,18.4,,,,,,,,,,,,,,,,,,,,,Matches
529,Enes Ünal,tr TUR,FW,Bournemouth,27,1997,3.8,,,,,,,,,,,,,,,,,,,,,Matches
530,Hákon Valdimarsson,is ISL,GK,Brentford,22,2001,1.6,,,,,,,,,,,,,,,,,,,,,Matches
531,Virgil van Dijk,nl NED,DF,Liverpool,33,1991,37.0,,,,,,,,,,,,,,,,,,,,,Matches
532,Jamie Vardy,eng ENG,FW,Leicester City,37,1987,31.4,,,,,,,,,,,,,,,,,,,,,Matches
533,Renato Veiga,pt POR,MF,Chelsea,21,2003,2.0,,,,,,,,,,,,,,,,,,,,,Matches
534,Joël Veltman,nl NED,DF,Brighton,32,1992,18.9,,,,,,,,,,,,,,,,,,,,,Matches
535,Micky van de Ven,nl NED,DF,Tottenham Hotspur,23,2001,11.3,,,,,,,,,,,,,,,,,,,,,Matches
536,Bart Verbruggen,nl NED,GK,Brighton,21,2002,36.0,,,,,,,,,,,,,,,,,,,,,Matches
537,Jannik Vestergaard,dk DEN,DF,Leicester City,31,1992,15.5,,,,,,,,,,,,,,,,,,,,,Matches
538,Guglielmo Vicario,it ITA,GK,Tottenham Hotspur,27,1996,24.0,,,,,,,,,,,,,,,,,,,,,Matches
539,Carlos Vinícius,br BRA,FW,Fulham,29,1995,0.2,,,,,,,,,,,,,,,,,,,,,Matches
540,Kyle Walker,eng ENG,DF,Manchester City,34,1990,10.8,,,,,,,,,,,,,,,,,,,,,Matches
541,Kyle Walker-Peters,eng ENG,"MF,DF",Southampton,27,1997,32.4,,,,,,,,,,,,,,,,,,,,,Matches
542,Christian Walton,eng ENG,GK,Ipswich Town,28,1995,7.0,,,,,,,,,,,,,,,,,,,,,Matches
543,Aaron Wan-Bissaka,cd COD,"DF,MF",West Ham United,26,1997,35.0,,,,,,,,,,,,,,,,,,,,,Matches
544,Danny Ward,wls WAL,GK,Leicester City,31,1993,1.5,,,,,,,,,,,,,,,,,,,,,Matches
545,Joel Ward,eng ENG,DF,Crystal Palace,34,1989,0.8,,,,,,,,,,,,,,,,,,,,,Matches
546,James Ward-Prowse,eng ENG,MF,West Ham United,29,1994,11.5,,,,,,,,,,,,,,,,,,,,,Matches
547,James Ward-Prowse,eng ENG,MF,Nottingham Forest,29,1994,4.4,,,,,,,,,,,,,,,,,,,,,Matches
548,Ollie Watkins,eng ENG,FW,Aston Villa,28,1995,28.9,,,,,,,,,,,,,,,,,,,,,Matches
549,Adam Webster,eng ENG,DF,Brighton,29,1995,9.9,,,,,,,,,,,,,,,,,,,,,Matches
550,Danny Welbeck,eng ENG,FW,Brighton,33,1990,23.5,,,,,,,,,,,,,,,,,,,,,Matches
551,Welington,br BRA,"MF,DF",Southampton,23,2001,5.4,,,,,,,,,,,,,,,,,,,,,Matches
552,Timo Werner,de GER,"FW,MF",Tottenham Hotspur,28,1996,5.7,,,,,,,,,,,,,,,,,,,,,Matches
553,Adam Wharton,eng ENG,MF,Crystal Palace,20,2004,14.6,,,,,,,,,,,,,,,,,,,,,Matches
554,Ben White,eng ENG,DF,Arsenal,26,1997,13.3,,,,,,,,,,,,,,,,,,,,,Matches
555,Mats Wieffer,nl NED,"DF,MF",Brighton,24,1999,11.3,,,,,,,,,,,,,,,,,,,,,Matches
556,Neco Williams,wls WAL,"DF,MF",Nottingham Forest,23,2001,28.8,,,,,,,,,,,,,,,,,,,,,Matches
557,Willian,br BRA,"MF,FW",Fulham,35,1988,2.9,,,,,,,,,,,,,,,,,,,,,Matches
558,Joe Willock,eng ENG,MF,Newcastle United,24,1999,12.1,,,,,,,,,,,,,,,,,,,,,Matches
559,Callum Wilson,eng ENG,FW,Newcastle United,32,1992,4.1,,,,,,,,,,,,,,,,,,,,,Matches
560,Harry Wilson,wls WAL,"MF,FW",Fulham,27,1997,12.9,,,,,,,,,,,,,,,,,,,,,Matches
561,Harry Winks,eng ENG,MF,Leicester City,28,1996,17.1,,,,,,,,,,,,,,,,,,,,,Matches
562,Ben Winterburn,eng ENG,MF,Bournemouth,19,2004,0.3,,,,,,,,,,,,,,,,,,,,,Matches
563,Yoane Wissa,cd COD,FW,Brentford,27,1996,32.4,,,,,,,,,,,,,,,,,,,,,Matches
564,Chris Wood,nz NZL,FW,Nottingham Forest,32,1991,32.9,,,,,,,,,,,,,,,,,,,,,Matches
565,Nathan Wood-Gordon,eng ENG,DF,Southampton,22,2002,8.6,,,,,,,,,,,,,,,,,,,,,Matches
566,Luke Woolfenden,eng ENG,DF,Ipswich Town,25,1998,13.2,,,,,,,,,,,,,,,,,,,,,Matches
567,Yehor Yarmoliuk,ua UKR,MF,Brentford,20,2004,16.1,,,,,,,,,,,,,,,,,,,,,Matches
568,Ryan Yates,eng ENG,MF,Nottingham Forest,26,1997,21.3,,,,,,,,,,,,,,,,,,,,,Matches
569,Leny Yoro,fr FRA,DF,Manchester Utd,18,2005,12.9,,,,,,,,,,,,,,,,,,,,,Matches
570,Ashley Young,eng ENG,DF,Everton,39,1985,20.8,,,,,,,,,,,,,,,,,,,,,Matches
571,Illia Zabarnyi,ua UKR,DF,Bournemouth,21,2002,34.5,,,,,,,,,,,,,,,,,,,,,Matches
572,Oleksandr Zinchenko,ua UKR,"DF,MF",Arsenal,27,1996,5.9,,,,,,,,,,,,,,,,,,,,,Matches
573,Joshua Zirkzee,nl NED,"FW,MF",Manchester Utd,23,2001,15.6,,,,,,,,,,,,,,,,,,,,,Matches
574,Martin Ødegaard,no NOR,MF,Arsenal,25,1998,25.8,,,,,,,,,,,,,,,,,,,,,Matches
