Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
201,Juan Foyth,ar ARG,DF,Villarreal,26,1998,16.9,,,,,,,,,,,,,,,,,Matches
202,Fran,es ESP,GK,Real Madrid,19,2005,1.0,,,,,,,,,,,,,,,,,Matches
203,Alejandro Francés,es ESP,DF,Girona,21,2002,13.0,,,,,,,,,,,,,,,,,Matches
204,Enric Franquesa,es ESP,"MF,DF",Leganés,27,1997,6.8,,,,,,,,,,,,,,,,,Matches
205,Jorge de Frutos,es ESP,"MF,FW",Rayo Vallecano,27,1997,27.7,,,,,,,,,,,,,,,,,Matches
206,Darío Fuentes,es ESP,DF,Sevilla,21,2003,0.1,,,,,,,,,,,,,,,,,Matches
207,Manuel Fuster,es ESP,"MF,FW",Las Palmas,26,1997,11.1,,,,,,,,,,,,,,,,,Matches
208,Javi Galán,es ESP,DF,Atlético Madrid,29,1994,19.8,,,,,,,,,,,,,,,,,Matches
209,Iñigo Ruiz de Galarreta,es ESP,MF,Athletic Club,30,1993,16.4,,,,,,,,,,,,,,,,,Matches
210,Conor Gallagher,eng ENG,MF,Atlético Madrid,24,2000,18.1,,,,,,,,,,,,,,,,,Matches
211,Facundo Garcés,my MAS,DF,Alavés,24,1999,7.5,,,,,,,,,,,,,,,,,Matches
212,Álvaro García,es ESP,"MF,FW",Rayo Vallecano,31,1992,28.4,,,,,,,,,,,,,,,,,Matches
213,Eric García,es ESP,"DF,MF",Barcelona,23,2001,17.4,,,,,,,,,,,,,,,,,Matches
214,Fran Garcia,es ESP,DF,Real Madrid,24,1999,24.1,,,,,,,,,,,,,,,,,Matches
215,Gonzalo García,es ESP,MF,Real Madrid,20,2004,0.6,,,,,,,,,,,,,,,,,Matches
216,Joan García,es ESP,GK,Espanyol,23,2001,38.0,,,,,,,,,,,,,,,,,Matches
217,Pablo Garcia,es ESP,FW,Real Betis,18,2006,0.4,,,,,,,,,,,,,,,,,Matches
218,Rubén García,es ESP,"FW,MF",Osasuna,31,1993,26.8,,,,,,,,,,,,,,,,,Matches
219,Unai García,es ESP,DF,Osasuna,32,1992,0.7,,,,,,,,,,,,,,,,,Matches
220,Yarek Gasiorowski,es ESP,DF,Valencia,19,2005,10.5,,,,,,,,,,,,,,,,,Matches
221,Gavi,es ESP,MF,Barcelona,19,2004,12.1,,,,,,,,,,,,,,,,,Matches
222,Paulo Gazzaniga,ar ARG,GK,Girona,32,1992,35.5,,,,,,,,,,,,,,,,,Matches
223,Bryan Gil,es ESP,"MF,FW",Girona,23,2001,19.1,,,,,,,,,,,,,,,,,Matches
224,Dani Gómez,es ESP,FW,Valencia,26,1998,5.9,,,,,,,,,,,,,,,,,Matches
225,Moi Gómez,es ESP,"MF,FW",Osasuna,30,1994,8.8,,,,,,,,,,,,,,,,,Matches
226,Sergi Gómez,es ESP,DF,Espanyol,32,1992,7.4,,,,,,,,,,,,,,,,,Matches
227,Sergio Gómez,es ESP,MF,Real Sociedad,23,2000,30.4,,,,,,,,,,,,,,,,,Matches
228,Unai Gómez,es ESP,"MF,FW",Athletic Club,21,2003,14.3,,,,,,,,,,,,,,,,,Matches
229,Fabio González,es ESP,MF,Las Palmas,27,1997,0.6,,,,,,,,,,,,,,,,,Matches
230,Peter González,do DOM,MF,Getafe,22,2002,5.3,,,,,,,,,,,,,,,,,Matches
231,Urko González,es ESP,MF,Real Sociedad,23,2001,0.5,,,,,,,,,,,,,,,,,Matches
232,Urko González,es ESP,MF,Espanyol,23,2001,15.3,,,,,,,,,,,,,,,,,Matches
233,Andoni Gorosabel,es ESP,DF,Athletic Club,27,1996,16.5,,,,,,,,,,,,,,,,,Matches
234,José Gragera,es ESP,MF,Espanyol,23,2000,6.3,,,,,,,,,,,,,,,,,Matches
235,Dominik Greif,sk SVK,GK,Mallorca,27,1997,31.0,,,,,,,,,,,,,,,,,Matches
236,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,33,1991,27.4,,,,,,,,,,,,,,,,,Matches
237,Florian Grillitsch,at AUT,MF,Valladolid,28,1995,6.9,,,,,,,,,,,,,,,,,Matches
238,Vicente Guaita,es ESP,GK,Celta Vigo,37,1987,34.0,,,,,,,,,,,,,,,,,Matches
239,Sergi Guardiola,es ESP,FW,Rayo Vallecano,33,1991,4.0,,,,,,,,,,,,,,,,,Matches
240,Nemanja Gudelj,rs SRB,"MF,DF",Sevilla,32,1991,27.7,,,,,,,,,,,,,,,,,Matches
241,Javier Guerra,es ESP,MF,Valencia,21,2003,28.7,,,,,,,,,,,,,,,,,Matches
242,Ander Guevara,es ESP,MF,Alavés,27,1997,21.6,,,,,,,,,,,,,,,,,Matches
243,Pape Gueye,sn SEN,"MF,FW",Villarreal,25,1999,24.7,,,,,,,,,,,,,,,,,Matches
244,Hugo Guillamón,es ESP,MF,Valencia,24,2000,4.0,,,,,,,,,,,,,,,,,Matches
245,Carlos Guirao,es ESP,MF,Real Betis,21,2003,1.2,,,,,,,,,,,,,,,,,Matches
246,Arda Güler,tr TUR,"MF,FW",Real Madrid,19,2005,13.9,,,,,,,,,,,,,,,,,Matches
247,Gerard Gumbau,es ESP,MF,Rayo Vallecano,29,1994,9.4,,,,,,,,,,,,,,,,,Matches
248,Jon Guridi,es ESP,MF,Alavés,29,1995,23.1,,,,,,,,,,,,,,,,,Matches
249,Gorka Guruzeta,es ESP,FW,Athletic Club,27,1996,20.4,,,,,,,,,,,,,,,,,Matches
250,Miguel Gutiérrez,es ESP,"DF,MF",Girona,23,2001,27.3,,,,,,,,,,,,,,,,,Matches
251,Munir El Haddadi,ma MAR,"MF,FW",Leganés,28,1995,9.6,,,,,,,,,,,,,,,,,Matches
252,Sébastien Haller,ci CIV,FW,Leganés,30,1994,4.5,,,,,,,,,,,,,,,,,Matches
253,Henrique,br BRA,DF,Valladolid,30,1994,3.9,,,,,,,,,,,,,,,,,Matches
254,Javi Hernández,es ESP,DF,Leganés,26,1998,26.5,,,,,,,,,,,,,,,,,Matches
255,Aridane Hernández,es ESP,DF,Rayo Vallecano,35,1989,11.4,,,,,,,,,,,,,,,,,Matches
256,Jorge Herrando,es ESP,DF,Osasuna,23,2001,15.2,,,,,,,,,,,,,,,,,Matches
257,Ander Herrera,es ESP,MF,Athletic Club,34,1989,3.0,,,,,,,,,,,,,,,,,Matches
258,Sergio Herrera,es ESP,GK,Osasuna,31,1993,37.0,,,,,,,,,,,,,,,,,Matches
259,Yangel Herrera,ve VEN,MF,Girona,26,1998,25.1,,,,,,,,,,,,,,,,,Matches
260,Juan Herzog,es ESP,DF,Las Palmas,21,2003,14.6,,,,,,,,,,,,,,,,,Matches
261,Omar El Hilali,ma MAR,DF,Espanyol,20,2003,35.0,,,,,,,,,,,,,,,,,Matches
262,Roger Hinojo,es ESP,DF,Espanyol,19,2005,0.1,,,,,,,,,,,,,,,,,Matches
263,Dinko Horkaš,hr CRO,GK,Las Palmas,25,1999,12.1,,,,,,,,,,,,,,,,,Matches
264,Pablo Ibáñez,es ESP,MF,Osasuna,25,1998,14.4,,,,,,,,,,,,,,,,,Matches
265,Stanis Idumbo,be BEL,MF,Sevilla,19,2005,3.2,,,,,,,,,,,,,,,,,Matches
266,Iglesias,es ESP,"DF,MF",Getafe,26,1998,32.1,,,,,,,,,,,,,,,,,Matches
267,Borja Iglesias,es ESP,FW,Celta Vigo,31,1993,21.7,,,,,,,,,,,,,,,,,Matches
268,Kelechi Iheanacho,ng NGA,FW,Sevilla,27,1996,4.4,,,,,,,,,,,,,,,,,Matches
269,Isco,es ESP,MF,Real Betis,32,1992,17.2,,,,,,,,,,,,,,,,,Matches
270,Diego Iturralde,es ESP,MF,Sevilla,21,2003,0.4,,,,,,,,,,,,,,,,,Matches
271,Ivan Jaime Pajuelo,es ESP,MF,Valencia,23,2000,3.3,,,,,,,,,,,,,,,,,Matches
272,Karl Jakob Hein,ee EST,GK,Valladolid,22,2002,31.0,,,,,,,,,,,,,,,,,Matches
273,Adnan Januzaj,be BEL,"MF,FW",Las Palmas,29,1995,6.6,,,,,,,,,,,,,,,,,Matches
274,Mikel Jauregizar,es ESP,MF,Athletic Club,20,2003,24.9,,,,,,,,,,,,,,,,,Matches
275,John Joe,ie IRL,MF,Getafe,20,2003,0.5,,,,,,,,,,,,,,,,,Matches
276,Jofre,es ESP,MF,Espanyol,23,2001,24.1,,,,,,,,,,,,,,,,,Matches
277,Frenkie de Jong,nl NED,MF,Barcelona,27,1997,12.7,,,,,,,,,,,,,,,,,Matches
278,Joan Jordán,es ESP,MF,Alavés,30,1994,15.7,,,,,,,,,,,,,,,,,Matches
279,Juanmi,es ESP,MF,Real Betis,31,1993,2.7,,,,,,,,,,,,,,,,,Matches
280,Juanmi,es ESP,FW,Getafe,31,1993,7.7,,,,,,,,,,,,,,,,,Matches
281,Juanpe,es ESP,DF,Girona,33,1991,8.1,,,,,,,,,,,,,,,,,Matches
282,Abdulai Juma Bah,sl SLE,DF,Valladolid,18,2006,9.6,,,,,,,,,,,,,,,,,Matches
283,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,23,2001,16.2,,,,,,,,,,,,,,,,,Matches
284,Vinicius Júnior,br BRA,"FW,MF",Real Madrid,24,2000,25.0,,,,,,,,,,,,,,,,,Matches
285,Stanko Jurić,hr CRO,MF,Valladolid,27,1996,19.2,,,,,,,,,,,,,,,,,Matches
286,Willy Kambwala,fr FRA,DF,Villarreal,19,2004,12.4,,,,,,,,,,,,,,,,,Matches
287,Abdoulaye Keita,es ESP,MF,Getafe,21,2002,1.1,,,,,,,,,,,,,,,,,Matches
288,Kenedy,br BRA,"FW,MF",Valladolid,28,1996,0.1,,,,,,,,,,,,,,,,,Matches
289,Kiké,es ESP,FW,Alavés,34,1989,28.2,,,,,,,,,,,,,,,,,Matches
290,Koke,es ESP,MF,Atlético Madrid,32,1992,21.4,,,,,,,,,,,,,,,,,Matches
291,Jules Koundé,fr FRA,DF,Barcelona,25,1998,28.9,,,,,,,,,,,,,,,,,Matches
292,Alex Král,cz CZE,MF,Espanyol,26,1998,30.2,,,,,,,,,,,,,,,,,Matches
293,Vladyslav Krapyvtsov,ua UKR,GK,Girona,19,2005,2.0,,,,,,,,,,,,,,,,,Matches
294,Ladislav Krejčí,cz CZE,DF,Girona,25,1999,27.1,,,,,,,,,,,,,,,,,Matches
295,Takefusa Kubo,jp JPN,"MF,FW",Real Sociedad,23,2001,26.4,,,,,,,,,,,,,,,,,Matches
296,Marash Kumbulla,al ALB,DF,Espanyol,24,2000,33.0,,,,,,,,,,,,,,,,,Matches
297,Luca de la Torre,us USA,MF,Celta Vigo,26,1998,0.0,,,,,,,,,,,,,,,,,Matches
298,Yoel Lago,es ESP,DF,Celta Vigo,20,2004,6.5,,,,,,,,,,,,,,,,,Matches
299,Cyle Larin,ca CAN,FW,Mallorca,29,1995,19.6,,,,,,,,,,,,,,,,,Matches
300,Juanmi Latasa,es ESP,FW,Valladolid,23,2001,15.5,,,,,,,,,,,,,,,,,Matches
301,Toni Lato,es ESP,DF,Mallorca,26,1997,6.9,,,,,,,,,,,,,,,,,Matches
302,Robin Le Normand,es ESP,DF,Atlético Madrid,27,1996,23.9,,,,,,,,,,,,,,,,,Matches
303,Florian Lejeune,fr FRA,DF,Rayo Vallecano,33,1991,36.9,,,,,,,,,,,,,,,,,Matches
304,Iñigo Lekue,es ESP,DF,Athletic Club,31,1993,8.6,,,,,,,,,,,,,,,,,Matches
305,Thomas Lemar,fr FRA,MF,Atlético Madrid,28,1995,0.9,,,,,,,,,,,,,,,,,Matches
306,Clément Lenglet,fr FRA,DF,Atlético Madrid,29,1995,21.9,,,,,,,,,,,,,,,,,Matches
307,Robert Lewandowski,pl POL,FW,Barcelona,35,1988,29.6,,,,,,,,,,,,,,,,,Matches
308,Samuel Lino,br BRA,MF,Atlético Madrid,24,1999,17.2,,,,,,,,,,,,,,,,,Matches
309,Javier Llabrés,es ESP,MF,Mallorca,21,2002,0.6,,,,,,,,,,,,,,,,,Matches
310,Diego Llorente,es ESP,DF,Real Betis,30,1993,28.0,,,,,,,,,,,,,,,,,Matches
311,Marcos Llorente,es ESP,"DF,MF",Atlético Madrid,29,1995,27.9,,,,,,,,,,,,,,,,,Matches
312,Giovani Lo Celso,ar ARG,MF,Real Betis,28,1996,16.2,,,,,,,,,,,,,,,,,Matches
313,Enzo Loiodice,fr FRA,MF,Las Palmas,23,2000,7.6,,,,,,,,,,,,,,,,,Matches
314,David López,es ESP,DF,Girona,34,1989,27.0,,,,,,,,,,,,,,,,,Matches
315,David López,es ESP,DF,Mallorca,21,2003,1.9,,,,,,,,,,,,,,,,,Matches
316,Diego López,es ESP,MF,Valencia,22,2002,30.4,,,,,,,,,,,,,,,,,Matches
317,Fer López,es ESP,"FW,MF",Celta Vigo,20,2004,7.5,,,,,,,,,,,,,,,,,Matches
318,Fermin López,es ESP,MF,Barcelona,21,2003,13.9,,,,,,,,,,,,,,,,,Matches
319,Javi López,es ESP,DF,Real Sociedad,22,2002,21.5,,,,,,,,,,,,,,,,,Matches
320,Pau López,es ESP,GK,Girona,29,1994,0.5,,,,,,,,,,,,,,,,,Matches
321,Roberto López,es ESP,MF,Leganés,24,2000,4.4,,,,,,,,,,,,,,,,,Matches
322,Unai López,es ESP,MF,Rayo Vallecano,28,1995,19.0,,,,,,,,,,,,,,,,,Matches
323,Iker Losada,es ESP,"MF,FW",Celta Vigo,22,2001,4.0,,,,,,,,,,,,,,,,,Matches
324,Iker Losada,es ESP,MF,Real Betis,22,2001,3.7,,,,,,,,,,,,,,,,,Matches
325,Pol Lozano,es ESP,MF,Espanyol,24,1999,21.6,,,,,,,,,,,,,,,,,Matches
326,José Luis Gayà,es ESP,DF,Valencia,29,1995,20.0,,,,,,,,,,,,,,,,,Matches
327,Dodi Lukebakio,be BEL,"MF,FW",Sevilla,26,1997,34.4,,,,,,,,,,,,,,,,,Matches
328,Daniel Luna,co COL,MF,Mallorca,21,2003,0.2,,,,,,,,,,,,,,,,,Matches
329,Andriy Lunin,ua UKR,GK,Real Madrid,25,1999,7.0,,,,,,,,,,,,,,,,,Matches
330,Darwin Machís,ve VEN,"MF,FW",Valladolid,31,1993,7.1,,,,,,,,,,,,,,,,,Matches
331,Pablo Maffeo,es ESP,DF,Mallorca,27,1997,26.3,,,,,,,,,,,,,,,,,Matches
332,Jon Magunazelaia,es ESP,MF,Real Sociedad,23,2001,0.1,,,,,,,,,,,,,,,,,Matches
333,Giorgi Mamardashvili,ge GEO,GK,Valencia,23,2000,34.0,,,,,,,,,,,,,,,,,Matches
334,Reinildo Mandava,mz MOZ,"DF,MF",Atlético Madrid,30,1994,10.5,,,,,,,,,,,,,,,,,Matches
335,Javier Manquillo,es ESP,DF,Celta Vigo,30,1994,5.7,,,,,,,,,,,,,,,,,Matches
336,Marcão,br BRA,DF,Sevilla,28,1996,6.1,,,,,,,,,,,,,,,,,Matches
337,Óscar de Marcos,es ESP,DF,Athletic Club,35,1989,17.4,,,,,,,,,,,,,,,,,Matches
338,Alberto Marí,es ESP,FW,Valencia,23,2001,0.1,,,,,,,,,,,,,,,,,Matches
339,José María Giménez,uy URU,DF,Atlético Madrid,29,1995,22.2,,,,,,,,,,,,,,,,,Matches
340,Arkaitz Mariezkurrena,es ESP,FW,Real Sociedad,19,2005,2.7,,,,,,,,,,,,,,,,,Matches
341,Pablo Marín,es ESP,MF,Real Sociedad,21,2003,13.8,,,,,,,,,,,,,,,,,Matches
342,Mika Mármol,es ESP,DF,Las Palmas,23,2001,26.7,,,,,,,,,,,,,,,,,Matches
343,Mario Maroto,es ESP,MF,Valladolid,20,2003,0.7,,,,,,,,,,,,,,,,,Matches
344,Unai Marrero,es ESP,GK,Real Sociedad,22,2001,2.0,,,,,,,,,,,,,,,,,Matches
345,Carlos Martín,es ESP,"MF,FW",Alavés,22,2002,14.8,,,,,,,,,,,,,,,,,Matches
346,Diego Martín,es ESP,FW,Las Palmas,20,2003,0.4,,,,,,,,,,,,,,,,,Matches
347,Gerard Martín,es ESP,DF,Barcelona,22,2002,11.5,,,,,,,,,,,,,,,,,Matches
348,Iván Martín,es ESP,MF,Girona,25,1999,22.7,,,,,,,,,,,,,,,,,Matches
349,Jon Martin,es ESP,DF,Real Sociedad,18,2006,10.0,,,,,,,,,,,,,,,,,Matches
350,Mario Martín,es ESP,MF,Valladolid,20,2004,19.4,,,,,,,,,,,,,,,,,Matches
351,Arnau Martinez,es ESP,"DF,MF",Girona,21,2003,29.2,,,,,,,,,,,,,,,,,Matches
352,Iñigo Martínez,es ESP,DF,Barcelona,33,1991,27.7,,,,,,,,,,,,,,,,,Matches
353,Javi Martínez,es ESP,MF,Osasuna,24,1999,0.1,,,,,,,,,,,,,,,,,Matches
354,Ramón Martínez,es ESP,DF,Sevilla,21,2002,2.9,,,,,,,,,,,,,,,,,Matches
355,Toni Martínez,es ESP,FW,Alavés,27,1997,11.2,,,,,,,,,,,,,,,,,Matches
356,Javi Martón,es ESP,FW,Athletic Club,25,1999,0.6,,,,,,,,,,,,,,,,,Matches
357,Marvin,es ESP,"DF,MF",Las Palmas,24,2000,11.5,,,,,,,,,,,,,,,,,Matches
358,Omar Mascarell,gq EQG,MF,Mallorca,31,1993,22.1,,,,,,,,,,,,,,,,,Matches
359,Jaime Mata,es ESP,"MF,FW",Las Palmas,35,1988,7.3,,,,,,,,,,,,,,,,,Matches
360,Borja Mayoral,es ESP,FW,Getafe,27,1997,12.4,,,,,,,,,,,,,,,,,Matches
361,Kylian Mbappé,fr FRA,FW,Real Madrid,25,1998,32.3,,,,,,,,,,,,,,,,,Matches
362,Oliver McBurnie,sct SCO,FW,Las Palmas,28,1996,20.4,,,,,,,,,,,,,,,,,Matches
363,Scott McKenna,sct SCO,DF,Las Palmas,27,1996,27.4,,,,,,,,,,,,,,,,,Matches
364,Mateo Mejía,es ESP,FW,Sevilla,21,2003,0.1,,,,,,,,,,,,,,,,,Matches
365,Arthur Melo,br BRA,MF,Girona,27,1996,10.5,,,,,,,,,,,,,,,,,Matches
366,Brais Méndez,es ESP,"MF,FW",Real Sociedad,27,1997,17.0,,,,,,,,,,,,,,,,,Matches
367,Ferland Mendy,fr FRA,DF,Real Madrid,29,1995,11.2,,,,,,,,,,,,,,,,,Matches
368,Nobel Mendy,fr FRA,DF,Real Betis,19,2004,1.2,,,,,,,,,,,,,,,,,Matches
369,Víctor Meseguer,es ESP,MF,Valladolid,25,1999,4.6,,,,,,,,,,,,,,,,,Matches
370,Miguel,es ESP,FW,Leganés,24,1999,19.2,,,,,,,,,,,,,,,,,Matches
371,Éder Militão,br BRA,DF,Real Madrid,26,1998,10.4,,,,,,,,,,,,,,,,,Matches
372,Luis Milla,es ESP,MF,Getafe,29,1994,31.9,,,,,,,,,,,,,,,,,Matches
373,Pere Milla,es ESP,MF,Espanyol,31,1992,5.1,,,,,,,,,,,,,,,,,Matches
374,Óscar Mingueza,es ESP,"MF,DF",Celta Vigo,25,1999,30.3,,,,,,,,,,,,,,,,,Matches
375,Kim Minsu,kr KOR,FW,Girona,18,2006,0.2,,,,,,,,,,,,,,,,,Matches
376,Bojan Miovski,mk MKD,FW,Girona,25,1999,9.7,,,,,,,,,,,,,,,,,Matches
377,Rafa Mir,es ESP,"FW,MF",Valencia,27,1997,8.4,,,,,,,,,,,,,,,,,Matches
378,Luka Modrić,hr CRO,MF,Real Madrid,38,1985,20.3,,,,,,,,,,,,,,,,,Matches
379,Johan Mojica,co COL,DF,Mallorca,31,1992,30.6,,,,,,,,,,,,,,,,,Matches
380,Alberto Moleiro,es ESP,MF,Las Palmas,20,2003,30.2,,,,,,,,,,,,,,,,,Matches
381,Nahuel Molina,ar ARG,DF,Atlético Madrid,26,1998,17.7,,,,,,,,,,,,,,,,,Matches
382,Jon Moncayola,es ESP,MF,Osasuna,26,1998,23.3,,,,,,,,,,,,,,,,,Matches
383,Gonzalo Montiel,ar ARG,DF,Sevilla,27,1997,1.3,,,,,,,,,,,,,,,,,Matches
384,Gerard Moreno,es ESP,FW,Villarreal,32,1992,8.0,,,,,,,,,,,,,,,,,Matches
385,Xavier Moreno,es ESP,FW,Valladolid,19,2004,0.5,,,,,,,,,,,,,,,,,Matches
386,Mateu Morey,es ESP,DF,Mallorca,24,2000,8.2,,,,,,,,,,,,,,,,,Matches
387,Ilaix Moriba,gn GUI,MF,Celta Vigo,21,2003,23.7,,,,,,,,,,,,,,,,,Matches
388,Manu Morlanes,es ESP,MF,Mallorca,25,1999,14.9,,,,,,,,,,,,,,,,,Matches
389,Raúl Moro,es ESP,"MF,FW",Valladolid,21,2002,26.0,,,,,,,,,,,,,,,,,Matches
390,Cristhian Mosquera,es ESP,DF,Valencia,20,2004,36.9,,,,,,,,,,,,,,,,,Matches
391,Santiago Mouriño,uy URU,DF,Alavés,22,2002,20.5,,,,,,,,,,,,,,,,,Matches
392,Abdul Mumin,gh GHA,DF,Rayo Vallecano,26,1998,22.4,,,,,,,,,,,,,,,,,Matches
393,Aihen Muñoz,es ESP,DF,Real Sociedad,26,1997,12.2,,,,,,,,,,,,,,,,,Matches
394,Álex Muñoz,es ESP,DF,Las Palmas,30,1994,15.7,,,,,,,,,,,,,,,,,Matches
395,Iker Muñoz,es ESP,MF,Osasuna,21,2002,6.8,,,,,,,,,,,,,,,,,Matches
396,Javier Muñoz,es ESP,"MF,DF",Las Palmas,29,1995,28.8,,,,,,,,,,,,,,,,,Matches
397,Víctor Muñoz,es ESP,FW,Real Madrid,21,2003,0.4,,,,,,,,,,,,,,,,,Matches
398,Vedat Muriqi,xk KVX,FW,Mallorca,30,1994,22.9,,,,,,,,,,,,,,,,,Matches
399,Juan Musso,ar ARG,GK,Atlético Madrid,30,1994,2.0,,,,,,,,,,,,,,,,,Matches
400,Matija Nastasić,rs SRB,DF,Leganés,31,1993,23.4,,,,,,,,,,,,,,,,,Matches
