Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Matches
401,Natan,br BRA,DF,Real Betis,23,2001,24.2,,,,,,,,,,,,,,,,,Matches
402,Pau Navarro,es ESP,DF,Villarreal,19,2005,10.2,,,,,,,,,,,,,,,,,Matches
403,Roberto Navarro,es ESP,MF,Mallorca,22,2002,14.2,,,,,,,,,,,,,,,,,Matches
404,Jesús Navas,es ESP,"MF,FW",Sevilla,38,1985,4.7,,,,,,,,,,,,,,,,,Matches
405,Yvan Neyou,cm CMR,MF,Leganés,27,1997,25.7,,,,,,,,,,,,,,,,,Matches
406,Tanguy Nianzou,fr FRA,DF,Sevilla,22,2002,5.8,,,,,,,,,,,,,,,,,Matches
407,Saúl Ñíguez,es ESP,MF,Sevilla,29,1994,17.3,,,,,,,,,,,,,,,,,Matches
408,Tamás Nikitscher,hu HUN,"MF,DF",Valladolid,24,1999,9.5,,,,,,,,,,,,,,,,,Matches
409,Adrian Niño,es ESP,FW,Atlético Madrid,20,2004,0.1,,,,,,,,,,,,,,,,,Matches
410,Hugo Novoa,es ESP,"MF,DF",Alavés,21,2003,2.6,,,,,,,,,,,,,,,,,Matches
411,Randy Nteka,ao ANG,FW,Rayo Vallecano,26,1997,12.5,,,,,,,,,,,,,,,,,Matches
412,Unai Núñez,es ESP,DF,Athletic Club,27,1997,7.2,,,,,,,,,,,,,,,,,Matches
413,Ørjan Nyland,no NOR,GK,Sevilla,33,1990,29.7,,,,,,,,,,,,,,,,,Matches
414,Allan Nyom,cm CMR,"MF,DF",Getafe,36,1988,9.9,,,,,,,,,,,,,,,,,Matches
415,Jan Oblak,si SVN,GK,Atlético Madrid,31,1993,36.0,,,,,,,,,,,,,,,,,Matches
416,Lucas Ocampos,ar ARG,"MF,FW",Sevilla,30,1994,1.9,,,,,,,,,,,,,,,,,Matches
417,Álvaro Odriozola,es ESP,DF,Real Sociedad,28,1995,0.5,,,,,,,,,,,,,,,,,Matches
418,Thiago Ojeda,ar ARG,MF,Villarreal,21,2003,0.1,,,,,,,,,,,,,,,,,Matches
419,Aingeru Olabarrieta,es ESP,MF,Athletic Club,18,2005,0.6,,,,,,,,,,,,,,,,,Matches
420,Olasagasti,es ESP,MF,Real Sociedad,23,2000,9.5,,,,,,,,,,,,,,,,,Matches
421,Brian Oliván,es ESP,DF,Espanyol,30,1994,11.3,,,,,,,,,,,,,,,,,Matches
422,Lucas Oliveira Rosa,br BRA,DF,Valladolid,24,2000,21.0,,,,,,,,,,,,,,,,,Matches
423,Dani Olmo,es ESP,MF,Barcelona,26,1998,13.5,,,,,,,,,,,,,,,,,Matches
424,Aimar Oroz,es ESP,MF,Osasuna,22,2001,33.0,,,,,,,,,,,,,,,,,Matches
425,Ángel Ortíz,es ESP,DF,Real Betis,20,2004,3.9,,,,,,,,,,,,,,,,,Matches
426,Gabriel Osei Misehouy,nl NED,FW,Girona,19,2005,2.9,,,,,,,,,,,,,,,,,Matches
427,David Otorbi,es ESP,FW,Valencia,16,2007,0.2,,,,,,,,,,,,,,,,,Matches
428,Jesús Owono,gq EQG,GK,Alavés,23,2001,5.4,,,,,,,,,,,,,,,,,Matches
429,Mikel Oyarzabal,es ESP,FW,Real Sociedad,27,1997,25.0,,,,,,,,,,,,,,,,,Matches
430,Cenk Özkacar,tr TUR,DF,Valladolid,23,2000,8.4,,,,,,,,,,,,,,,,,Matches
431,Jon Pacheco,es ESP,DF,Real Sociedad,23,2001,9.5,,,,,,,,,,,,,,,,,Matches
432,Alex Padilla,es ESP,GK,Athletic Club,20,2003,3.6,,,,,,,,,,,,,,,,,Matches
433,Isaac Palazón Camacho,es ESP,"MF,FW",Rayo Vallecano,29,1994,24.0,,,,,,,,,,,,,,,,,Matches
434,Aitor Paredes,es ESP,DF,Athletic Club,24,2000,20.1,,,,,,,,,,,,,,,,,Matches
435,Daniel Parejo,es ESP,MF,Villarreal,35,1989,25.3,,,,,,,,,,,,,,,,,Matches
436,Iago Parente,es ESP,DF,Valladolid,18,2006,0.8,,,,,,,,,,,,,,,,,Matches
437,Álvaro Pascual,es ESP,FW,Sevilla,22,2002,4.5,,,,,,,,,,,,,,,,,Matches
438,Alfonso Pedraza,es ESP,"DF,MF",Villarreal,28,1996,5.1,,,,,,,,,,,,,,,,,Matches
439,Pedri,es ESP,MF,Barcelona,21,2002,32.0,,,,,,,,,,,,,,,,,Matches
440,Adrià Pedrosa,es ESP,DF,Sevilla,26,1998,25.5,,,,,,,,,,,,,,,,,Matches
441,Pejiño,es ESP,MF,Las Palmas,28,1996,0.2,,,,,,,,,,,,,,,,,Matches
442,Andy Pelmard,mg MAD,DF,Las Palmas,24,2000,2.3,,,,,,,,,,,,,,,,,Matches
443,Iñaki Peña,es ESP,GK,Barcelona,25,1999,15.5,,,,,,,,,,,,,,,,,Matches
444,Rubén Peña,es ESP,"FW,DF",Osasuna,33,1991,8.6,,,,,,,,,,,,,,,,,Matches
445,Nicolas Pépé,ci CIV,"FW,MF",Villarreal,29,1995,16.7,,,,,,,,,,,,,,,,,Matches
446,Peque,es ESP,"MF,FW",Sevilla,21,2002,12.6,,,,,,,,,,,,,,,,,Matches
447,Ayoze Pérez,es ESP,FW,Villarreal,31,1993,21.9,,,,,,,,,,,,,,,,,Matches
448,Carles Pérez,es ESP,MF,Getafe,26,1998,15.9,,,,,,,,,,,,,,,,,Matches
449,Francisco Perez,es ESP,MF,Valencia,21,2002,6.3,,,,,,,,,,,,,,,,,Matches
450,Kike Pérez,es ESP,MF,Valladolid,27,1997,13.2,,,,,,,,,,,,,,,,,Matches
451,Luis Pérez,es ESP,DF,Valladolid,29,1995,28.4,,,,,,,,,,,,,,,,,Matches
452,Romain Perraud,fr FRA,DF,Real Betis,26,1997,22.2,,,,,,,,,,,,,,,,,Matches
453,Valentín Pezzolesi,es ESP,DF,Las Palmas,17,2007,0.1,,,,,,,,,,,,,,,,,Matches
454,Pica,es ESP,DF,Alavés,22,2002,5.5,,,,,,,,,,,,,,,,,Matches
455,Yeremi Pino,es ESP,MF,Villarreal,21,2002,21.5,,,,,,,,,,,,,,,,,Matches
456,Portu,es ESP,"FW,MF",Girona,32,1992,8.7,,,,,,,,,,,,,,,,,Matches
457,Beñat Prados,es ESP,MF,Athletic Club,23,2001,19.1,,,,,,,,,,,,,,,,,Matches
458,Abdón Prats,es ESP,"FW,MF",Mallorca,31,1992,5.1,,,,,,,,,,,,,,,,,Matches
459,Javi Puado,es ESP,"MF,FW",Espanyol,26,1998,33.0,,,,,,,,,,,,,,,,,Matches
460,Dani Raba,es ESP,"MF,FW",Leganés,28,1995,20.9,,,,,,,,,,,,,,,,,Matches
461,Arnau Rafús,es ESP,GK,Valladolid,21,2003,1.0,,,,,,,,,,,,,,,,,Matches
462,Antonio Raillo,es ESP,DF,Mallorca,32,1991,35.6,,,,,,,,,,,,,,,,,Matches
463,Benito Ramírez,es ESP,"MF,DF",Las Palmas,29,1995,5.3,,,,,,,,,,,,,,,,,Matches
464,Sandro Ramírez,es ESP,"MF,FW",Las Palmas,29,1995,22.6,,,,,,,,,,,,,,,,,Matches
465,Jacobo Ramón,es ESP,DF,Real Madrid,19,2005,2.3,,,,,,,,,,,,,,,,,Matches
466,Raphinha,br BRA,"MF,FW",Barcelona,27,1996,31.5,,,,,,,,,,,,,,,,,Matches
467,Andrei Ratiu,ro ROU,"DF,MF",Rayo Vallecano,26,1998,34.1,,,,,,,,,,,,,,,,,Matches
468,Raúl,es ESP,FW,Osasuna,23,2000,8.3,,,,,,,,,,,,,,,,,Matches
469,Abde Rebbach,dz ALG,"MF,FW",Alavés,25,1998,4.3,,,,,,,,,,,,,,,,,Matches
470,Álex Remiro,es ESP,GK,Real Sociedad,29,1995,36.0,,,,,,,,,,,,,,,,,Matches
471,Daniel Requena,es ESP,MF,Villarreal,20,2004,0.1,,,,,,,,,,,,,,,,,Matches
472,Diego Rico,es ESP,DF,Getafe,31,1993,31.3,,,,,,,,,,,,,,,,,Matches
473,Luis Rioja,es ESP,MF,Alavés,30,1993,0.3,,,,,,,,,,,,,,,,,Matches
474,Luis Rioja,es ESP,MF,Valencia,30,1993,31.5,,,,,,,,,,,,,,,,,Matches
475,Rodrigo Riquelme,es ESP,"MF,DF",Atlético Madrid,24,2000,5.7,,,,,,,,,,,,,,,,,Matches
476,Alberto Risco,es ESP,MF,Getafe,18,2005,0.8,,,,,,,,,,,,,,,,,Matches
477,Mihailo Ristić,rs SRB,"MF,DF",Celta Vigo,28,1995,4.8,,,,,,,,,,,,,,,,,Matches
478,Gorka Rivera Alonso,es ESP,DF,Getafe,19,2004,0.2,,,,,,,,,,,,,,,,,Matches
479,Marc Roca,es ESP,MF,Real Betis,27,1996,10.1,,,,,,,,,,,,,,,,,Matches
480,Rodri,es ESP,MF,Real Betis,24,2000,1.3,,,,,,,,,,,,,,,,,Matches
481,Adrian Rodriguez,es ESP,GK,Alavés,23,2000,1.4,,,,,,,,,,,,,,,,,Matches
482,Álvaro Rodríguez,uy URU,FW,Getafe,20,2004,9.5,,,,,,,,,,,,,,,,,Matches
483,Óscar Rodríguez Arnaiz,es ESP,MF,Leganés,26,1998,14.8,,,,,,,,,,,,,,,,,Matches
484,Arturo Rodríguez,es ESP,FW,Las Palmas,17,2006,0.2,,,,,,,,,,,,,,,,,Matches
485,Damián Rodríguez,es ESP,MF,Celta Vigo,21,2003,10.3,,,,,,,,,,,,,,,,,Matches
486,Dani Rodríguez,es ESP,"MF,FW",Mallorca,36,1988,24.0,,,,,,,,,,,,,,,,,Matches
487,Daniel Rodriguez,es ESP,MF,Barcelona,18,2005,0.4,,,,,,,,,,,,,,,,,Matches
488,James Rodríguez,co COL,MF,Rayo Vallecano,33,1991,1.6,,,,,,,,,,,,,,,,,Matches
489,Javi Rodríguez,es ESP,DF,Celta Vigo,21,2003,27.9,,,,,,,,,,,,,,,,,Matches
490,Jesus Rodríguez,es ESP,MF,Real Betis,18,2005,12.3,,,,,,,,,,,,,,,,,Matches
491,Kirian Rodríguez,es ESP,MF,Las Palmas,28,1996,19.5,,,,,,,,,,,,,,,,,Matches
492,Ricardo Rodríguez,ch SUI,DF,Real Betis,31,1992,14.2,,,,,,,,,,,,,,,,,Matches
493,Rodrygo,br BRA,"MF,FW",Real Madrid,23,2001,21.4,,,,,,,,,,,,,,,,,Matches
494,Leo Román,es ESP,GK,Mallorca,24,2000,7.0,,,,,,,,,,,,,,,,,Matches
495,Carlos Romero,es ESP,"DF,MF",Espanyol,22,2001,28.4,,,,,,,,,,,,,,,,,Matches
496,Isaac Romero,es ESP,FW,Sevilla,24,2000,24.0,,,,,,,,,,,,,,,,,Matches
497,Luka Romero,ar ARG,"MF,FW",Alavés,19,2004,2.2,,,,,,,,,,,,,,,,,Matches
498,Oriol Romeu,es ESP,MF,Girona,32,1991,15.1,,,,,,,,,,,,,,,,,Matches
499,Vitor Roque,br BRA,FW,Real Betis,19,2005,13.7,,,,,,,,,,,,,,,,,Matches
500,Valentin Rosier,fr FRA,DF,Leganés,27,1996,28.8,,,,,,,,,,,,,,,,,Matches
501,Antonio Rüdiger,de GER,DF,Real Madrid,31,1993,25.5,,,,,,,,,,,,,,,,,Matches
502,Aitor Ruibal,es ESP,"DF,FW",Real Betis,28,1996,14.6,,,,,,,,,,,,,,,,,Matches
503,Abel Ruiz,es ESP,FW,Girona,24,2000,15.0,,,,,,,,,,,,,,,,,Matches
504,Ferrán Ruiz,es ESP,DF,Girona,21,2003,0.2,,,,,,,,,,,,,,,,,Matches
505,Youssouf Sabaly,sn SEN,DF,Real Betis,31,1993,17.6,,,,,,,,,,,,,,,,,Matches
506,Umar Sadiq,ng NGA,FW,Valencia,27,1997,9.2,,,,,,,,,,,,,,,,,Matches
507,Umar Sadiq,ng NGA,FW,Real Sociedad,27,1997,2.5,,,,,,,,,,,,,,,,,Matches
508,Jorge Sáenz,es ESP,DF,Leganés,27,1996,18.8,,,,,,,,,,,,,,,,,Matches
509,Jan Salas,es ESP,MF,Mallorca,18,2005,0.5,,,,,,,,,,,,,,,,,Matches
510,Kike Salas,es ESP,DF,Sevilla,22,2002,24.9,,,,,,,,,,,,,,,,,Matches
511,Albert Sambi Lokonga,be BEL,MF,Sevilla,24,1999,16.3,,,,,,,,,,,,,,,,,Matches
512,Chuky san jose,es ESP,"MF,FW",Valladolid,20,2004,8.1,,,,,,,,,,,,,,,,,Matches
513,Oihan Sancet,es ESP,MF,Athletic Club,24,2000,18.0,,,,,,,,,,,,,,,,,Matches
514,Antonio Sánchez,es ESP,"MF,DF",Mallorca,27,1997,15.5,,,,,,,,,,,,,,,,,Matches
515,Iván Sánchez,es ESP,MF,Valladolid,31,1992,15.6,,,,,,,,,,,,,,,,,Matches
516,Javi Sánchez,es ESP,DF,Valladolid,27,1997,22.5,,,,,,,,,,,,,,,,,Matches
517,Juanlu Sánchez,es ESP,"MF,DF",Sevilla,20,2003,19.1,,,,,,,,,,,,,,,,,Matches
518,Manu Sánchez,es ESP,DF,Alavés,23,2000,29.3,,,,,,,,,,,,,,,,,Matches
519,Maroan Sannadi,ma MAR,FW,Athletic Club,23,2001,8.4,,,,,,,,,,,,,,,,,Matches
520,Yellu Santiago,es ESP,MF,Getafe,20,2004,4.1,,,,,,,,,,,,,,,,,Matches
521,Aleksandar Sedlar,rs SRB,DF,Alavés,32,1991,6.6,,,,,,,,,,,,,,,,,Matches
522,Sergi,es ESP,DF,Leganés,32,1992,32.9,,,,,,,,,,,,,,,,,Matches
523,Nicolás Serrano,es ESP,MF,Athletic Club,21,2003,1.2,,,,,,,,,,,,,,,,,Matches
524,Fábio Silva,pt POR,FW,Las Palmas,22,2002,20.7,,,,,,,,,,,,,,,,,Matches
525,Rui Silva,pt POR,GK,Real Betis,30,1994,15.0,,,,,,,,,,,,,,,,,Matches
526,Giuliano Simeone,ar ARG,MF,Atlético Madrid,21,2002,21.4,,,,,,,,,,,,,,,,,Matches
527,Unai Simón,es ESP,GK,Athletic Club,27,1997,21.0,,,,,,,,,,,,,,,,,Matches
528,Daley Sinkgraven,nl NED,DF,Las Palmas,29,1995,1.0,,,,,,,,,,,,,,,,,Matches
529,Jailson Siqueira,br BRA,DF,Celta Vigo,28,1995,6.8,,,,,,,,,,,,,,,,,Matches
530,Antonio Sivera,es ESP,GK,Alavés,27,1996,31.2,,,,,,,,,,,,,,,,,Matches
531,Justin Smith,ca CAN,MF,Espanyol,21,2003,2.3,,,,,,,,,,,,,,,,,Matches
532,Alex Sola,es ESP,MF,Getafe,25,1999,11.4,,,,,,,,,,,,,,,,,Matches
533,Arnau Solà,es ESP,DF,Villarreal,21,2003,0.1,,,,,,,,,,,,,,,,,Matches
534,Jhon Solis,co COL,MF,Girona,19,2004,5.9,,,,,,,,,,,,,,,,,Matches
535,David Soria,es ESP,GK,Getafe,31,1993,38.0,,,,,,,,,,,,,,,,,Matches
536,Juan Soriano,es ESP,GK,Leganés,26,1997,6.0,,,,,,,,,,,,,,,,,Matches
537,Hugo Sotelo,es ESP,MF,Celta Vigo,20,2003,13.9,,,,,,,,,,,,,,,,,Matches
538,Djibril Sow,ch SUI,MF,Sevilla,27,1997,22.9,,,,,,,,,,,,,,,,,Matches
539,Carl Starfelt,se SWE,DF,Celta Vigo,29,1995,25.2,,,,,,,,,,,,,,,,,Matches
540,Orri Steinn Óskarsson,is ISL,FW,Real Sociedad,19,2004,10.5,,,,,,,,,,,,,,,,,Matches
541,Stoichkov,es ESP,"MF,FW",Alavés,30,1993,7.8,,,,,,,,,,,,,,,,,Matches
542,Cristhian Stuani,uy URU,FW,Girona,37,1986,12.0,,,,,,,,,,,,,,,,,Matches
543,Álex Suárez,es ESP,DF,Las Palmas,31,1993,27.3,,,,,,,,,,,,,,,,,Matches
544,Denis Suárez,es ESP,MF,Villarreal,30,1994,6.8,,,,,,,,,,,,,,,,,Matches
545,Luka Sučić,hr CRO,MF,Real Sociedad,21,2002,19.9,,,,,,,,,,,,,,,,,Matches
546,Suso,es ESP,"MF,FW",Sevilla,30,1993,6.7,,,,,,,,,,,,,,,,,Matches
547,Williot Swedberg,se SWE,"FW,MF",Celta Vigo,20,2004,15.0,,,,,,,,,,,,,,,,,Matches
548,Mamadou Sylla,sn SEN,"FW,MF",Valladolid,30,1994,17.6,,,,,,,,,,,,,,,,,Matches
549,Wojciech Szczęsny,pl POL,GK,Barcelona,34,1990,15.0,,,,,,,,,,,,,,,,,Matches
550,Alexander Sørloth,no NOR,FW,Atlético Madrid,28,1995,17.4,,,,,,,,,,,,,,,,,Matches
551,Renato Tapia,pe PER,"MF,DF",Leganés,29,1995,26.9,,,,,,,,,,,,,,,,,Matches
552,César Tárrega,es ESP,DF,Valencia,22,2002,33.6,,,,,,,,,,,,,,,,,Matches
553,Aurélien Tchouaméni,fr FRA,"DF,MF",Real Madrid,24,2000,29.9,,,,,,,,,,,,,,,,,Matches
554,Álvaro Tejero,es ESP,"MF,DF",Espanyol,28,1996,13.8,,,,,,,,,,,,,,,,,Matches
555,Martín Tejón,es ESP,MF,Valencia,20,2004,0.5,,,,,,,,,,,,,,,,,Matches
556,Nahuel Tenaglia,ar ARG,DF,Alavés,28,1996,32.5,,,,,,,,,,,,,,,,,Matches
557,Marc-André ter Stegen,de GER,GK,Barcelona,32,1992,7.5,,,,,,,,,,,,,,,,,Matches
558,Ramón Terrats,es ESP,FW,Villarreal,23,2000,1.5,,,,,,,,,,,,,,,,,Matches
559,Ramón Terrats,es ESP,"MF,FW",Getafe,23,2000,13.5,,,,,,,,,,,,,,,,,Matches
560,Raúl de Tomás,es ESP,FW,Rayo Vallecano,29,1994,0.2,,,,,,,,,,,,,,,,,Matches
561,Pablo Torre,es ESP,MF,Barcelona,21,2003,3.4,,,,,,,,,,,,,,,,,Matches
562,David Torres,es ESP,DF,Valladolid,21,2003,15.4,,,,,,,,,,,,,,,,,Matches
563,Ferrán Torres,es ESP,"FW,MF",Barcelona,24,2000,12.3,,,,,,,,,,,,,,,,,Matches
564,Lucas Torró,es ESP,MF,Osasuna,30,1994,32.9,,,,,,,,,,,,,,,,,Matches
565,Hamari Traoré,ml MLI,DF,Real Sociedad,32,1992,7.8,,,,,,,,,,,,,,,,,Matches
566,Óscar Trejo,ar ARG,MF,Rayo Vallecano,36,1988,5.5,,,,,,,,,,,,,,,,,Matches
567,Viktor Tsyhankov,ua UKR,"MF,FW",Girona,26,1997,21.3,,,,,,,,,,,,,,,,,Matches
568,Beñat Turrientes,es ESP,MF,Real Sociedad,22,2002,10.5,,,,,,,,,,,,,,,,,Matches
569,Christantus Uche,ng NGA,"FW,MF",Getafe,21,2003,27.6,,,,,,,,,,,,,,,,,Matches
570,Naci Ünüvar,nl NED,"FW,MF",Espanyol,21,2003,0.3,,,,,,,,,,,,,,,,,Matches
571,Óscar Valentín,es ESP,MF,Rayo Vallecano,29,1994,20.4,,,,,,,,,,,,,,,,,Matches
572,Germán Valera,es ESP,MF,Valencia,22,2002,1.6,,,,,,,,,,,,,,,,,Matches
573,Martin Valjent,sk SVK,DF,Mallorca,28,1995,30.7,,,,,,,,,,,,,,,,,Matches
574,Jesús Vallejo,es ESP,DF,Real Madrid,27,1997,1.5,,,,,,,,,,,,,,,,,Matches
575,Federico Valverde,uy URU,"MF,DF",Real Madrid,26,1998,33.7,,,,,,,,,,,,,,,,,Matches
576,Siebe Van Der Heyden,be BEL,DF,Mallorca,26,1998,1.1,,,,,,,,,,,,,,,,,Matches
577,Ruben Vargas,ch SUI,"MF,FW",Sevilla,25,1998,7.5,,,,,,,,,,,,,,,,,Matches
578,José Luis García Vayá,es ESP,MF,Valencia,25,1998,19.4,,,,,,,,,,,,,,,,,Matches
579,Jesus Vazquez,es ESP,DF,Valencia,21,2003,10.2,,,,,,,,,,,,,,,,,Matches
580,Lucas Vázquez,es ESP,DF,Real Madrid,33,1991,24.3,,,,,,,,,,,,,,,,,Matches
581,Alejo Véliz,ar ARG,FW,Espanyol,20,2003,12.5,,,,,,,,,,,,,,,,,Matches
582,Mikel Vesga,es ESP,MF,Athletic Club,31,1993,11.0,,,,,,,,,,,,,,,,,Matches
583,Carlos Vicente,es ESP,MF,Alavés,25,1999,34.4,,,,,,,,,,,,,,,,,Matches
584,Pau Victor,es ESP,FW,Barcelona,22,2001,3.5,,,,,,,,,,,,,,,,,Matches
585,Nacho Vidal,es ESP,DF,Osasuna,29,1995,1.4,,,,,,,,,,,,,,,,,Matches
586,Fran Vieites,es ESP,GK,Real Betis,25,1999,4.0,,,,,,,,,,,,,,,,,Matches
587,Sergio Viera,es ESP,MF,Las Palmas,19,2005,1.1,,,,,,,,,,,,,,,,,Matches
588,Asier Villalibre,es ESP,FW,Alavés,26,1997,3.7,,,,,,,,,,,,,,,,,Matches
589,Iván Villar,es ESP,GK,Celta Vigo,27,1997,4.0,,,,,,,,,,,,,,,,,Matches
590,Viti,es ESP,DF,Las Palmas,26,1997,22.0,,,,,,,,,,,,,,,,,Matches
591,Daniel Vivian,es ESP,DF,Athletic Club,25,1999,29.0,,,,,,,,,,,,,,,,,Matches
592,Iñaki Williams,gh GHA,"MF,FW",Athletic Club,30,1994,29.5,,,,,,,,,,,,,,,,,Matches
593,Nico Williams,es ESP,MF,Athletic Club,22,2002,22.2,,,,,,,,,,,,,,,,,Matches
594,Axel Witsel,be BEL,DF,Atlético Madrid,35,1989,9.5,,,,,,,,,,,,,,,,,Matches
595,Lamine Yamal,es ESP,"MF,FW",Barcelona,17,2007,31.7,,,,,,,,,,,,,,,,,Matches
596,Daniel Yáñez,es ESP,MF,Real Madrid,17,2007,0.0,,,,,,,,,,,,,,,,,Matches
597,Bertuğ Yıldırım,tr TUR,FW,Getafe,22,2002,12.0,,,,,,,,,,,,,,,,,Matches
598,Arsen Zakharyan,ru RUS,MF,Real Sociedad,21,2003,0.8,,,,,,,,,,,,,,,,,Matches
599,Bryan Zaragoza,es ESP,"MF,FW",Osasuna,22,2001,20.4,,,,,,,,,,,,,,,,,Matches
600,Igor Zubeldia,es ESP,DF,Real Sociedad,27,1997,25.2,,,,,,,,,,,,,,,,,Matches
601,Martín Zubimendi,es ESP,MF,Real Sociedad,25,1999,32.9,,,,,,,,,,,,,,,,,Matches
