Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
362,Takumi Minamino,jp JPN,MF,Monaco,28,1995,23.5,9,61,29,47.5,2.59,1.23,0.15,0.31,0,0,Matches
363,Lucas Mincarelli,fr FRA,"DF,MF",Montpellier,19,2004,10.9,1,6,3,50.0,0.55,0.28,0.17,0.33,0,0,Matches
364,Ignacio Miramon,ar ARG,MF,Lille,20,2003,0.4,0,2,1,50.0,4.62,2.31,0.00,0.00,0,0,Matches
365,Terem Moffi,ng NGA,FW,Nice,24,1999,21.7,11,49,25,51.0,2.26,1.15,0.16,0.32,3,3,Matches
366,Mostafa Mohamed,eg EGY,FW,Nantes,25,1997,22.2,8,65,26,40.0,2.92,1.17,0.08,0.19,3,3,Matches
367,Florent Mollet,fr FRA,"MF,FW",Nantes,31,1991,23.1,4,63,25,39.7,2.72,1.08,0.06,0.16,0,0,Matches
368,Enzo Mongo,fr FRA,DF,Nantes,18,2005,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
369,Diego Moreira,be BEL,MF,Lyon,18,2004,3.0,0,5,2,40.0,1.67,0.67,0.00,0.00,0,0,Matches
370,Lebo Mothiba,za RSA,FW,Strasbourg,27,1996,6.9,3,16,7,43.8,2.33,1.02,0.19,0.43,0,0,Matches
371,Steve Mounié,bj BEN,FW,Brest,28,1994,19.7,6,59,24,40.7,3.00,1.22,0.10,0.25,0,0,Matches
372,Samuel Moutoussamy,cd COD,MF,Nantes,26,1996,12.3,1,15,5,33.3,1.22,0.41,0.07,0.20,0,0,Matches
373,Loris Mouyokolo,fr FRA,DF,Lorient,22,2001,1.0,0,0,0,,0.00,0.00,,,0,0,Matches
374,François Mughe,cm CMR,MF,Marseille,19,2004,2.0,0,3,0,0.0,1.53,0.00,0.00,,0,0,Matches
375,Nordi Mukiele,fr FRA,DF,Paris Saint-Germain,25,1997,8.8,0,9,6,66.7,1.02,0.68,0.00,0.00,0,0,Matches
376,Marshall Munetsi,zw ZIM,MF,Reims,27,1996,24.1,4,44,16,36.4,1.82,0.66,0.09,0.25,0,0,Matches
377,Yvon Mvogo,ch SUI,GK,Lorient,29,1994,34.0,0,0,0,,0.00,0.00,,,0,0,Matches
378,Joel Mvuka,no NOR,MF,Lorient,20,2002,2.2,0,1,0,0.0,0.46,0.00,0.00,,0,0,Matches
379,Junior Mwanga,fr FRA,"MF,FW",Strasbourg,20,2003,16.1,1,20,4,20.0,1.24,0.25,0.05,0.25,0,0,Matches
380,Kévin N'Doram,fr FRA,MF,Metz,27,1996,17.8,0,7,1,14.3,0.39,0.06,0.00,0.00,0,0,Matches
381,Bilal Nadir,ma MAR,MF,Marseille,19,2003,1.3,0,1,0,0.0,0.80,0.00,0.00,,0,0,Matches
382,Mahamadou Nagida,cm CMR,MF,Rennes,18,2005,1.2,0,3,2,66.7,2.55,1.70,0.00,0.00,0,0,Matches
383,Keito Nakamura,jp JPN,"FW,MF",Reims,23,2000,15.3,4,41,13,31.7,2.67,0.85,0.10,0.31,0,0,Matches
384,Keylor Navas,cr CRC,GK,Paris Saint-Germain,36,1986,4.0,0,0,0,,0.00,0.00,,,0,0,Matches
385,Youssouf Ndayishimiye,bi BDI,"MF,DF",Nice,24,1998,19.0,0,14,3,21.4,0.74,0.16,0.00,0.00,0,0,Matches
386,Bassirou Ndiaye,sn SEN,FW,Lorient,21,2002,1.7,0,0,0,,0.00,0.00,,,0,0,Matches
387,Iliman Ndiaye,sn SEN,"FW,MF",Marseille,23,2000,18.0,3,35,9,25.7,1.95,0.50,0.09,0.33,0,0,Matches
388,Massamba Ndiaye,sn SEN,GK,Clermont Foot,21,2001,4.0,0,0,0,,0.00,0.00,,,0,0,Matches
389,Rassoul Ndiaye,sn SEN,MF,Le Havre,21,2001,5.8,0,5,1,20.0,0.86,0.17,0.00,0.00,0,0,Matches
390,Cher Ndour,it ITA,MF,Paris Saint-Germain,19,2004,0.3,0,0,0,,0.00,0.00,,,0,0,Matches
391,Joseph Nduquidi,fr FRA,"MF,DF",Metz,18,2004,8.3,0,4,1,25.0,0.48,0.12,0.00,0.00,0,0,Matches
392,Loïc Nego,hu HUN,"MF,DF",Le Havre,32,1991,17.3,0,18,4,22.2,1.04,0.23,0.00,0.00,0,0,Matches
393,Steve Ngoura,fr FRA,FW,Le Havre,18,2005,2.5,0,7,2,28.6,2.83,0.81,0.00,0.00,0,0,Matches
394,Shamar Nicholson,jm JAM,FW,Clermont Foot,26,1997,16.5,4,40,20,50.0,2.43,1.21,0.08,0.15,1,2,Matches
395,Rasmus Nicolaisen,dk DEN,DF,Toulouse,26,1997,32.5,2,19,5,26.3,0.58,0.15,0.11,0.40,0,0,Matches
396,Arnaud Nordin,fr FRA,"MF,FW",Montpellier,25,1998,13.8,5,31,14,45.2,2.24,1.01,0.16,0.36,0,0,Matches
397,Ernest Nuamah,gh GHA,"FW,MF",Lyon,19,2003,20.4,3,43,20,46.5,2.11,0.98,0.07,0.15,0,0,Matches
398,Gerzino Nyamsi,cm CMR,DF,Strasbourg,26,1997,12.1,0,7,3,42.9,0.58,0.25,0.00,0.00,0,0,Matches
399,Rabby Nzingoula,fr FRA,MF,Strasbourg,17,2005,1.5,0,1,1,100.0,0.68,0.68,0.00,0.00,0,0,Matches
400,Jake O'Brien,ie IRL,DF,Lyon,22,2001,26.3,4,18,8,44.4,0.68,0.30,0.22,0.50,0,0,Matches
401,Florent Ogier,fr FRA,DF,Clermont Foot,34,1989,10.5,1,7,2,28.6,0.67,0.19,0.14,0.50,0,0,Matches
402,Joseph Okumu,ke KEN,DF,Reims,26,1997,19.4,1,11,3,27.3,0.57,0.15,0.09,0.33,0,0,Matches
403,Warmed Omari,km COM,DF,Rennes,23,2000,23.0,1,4,1,25.0,0.17,0.04,0.25,1.00,0,0,Matches
404,Becir Omeragic,ch SUI,"DF,MF",Montpellier,21,2002,25.7,0,9,3,33.3,0.35,0.12,0.00,0.00,0,0,Matches
405,Jean Onana,cm CMR,MF,Marseille,23,2000,6.3,1,8,3,37.5,1.27,0.48,0.13,0.33,0,0,Matches
406,Royce Openda,ga GAB,FW,Lorient,21,2002,0.2,0,0,0,,0.00,0.00,,,0,0,Matches
407,Christopher Operi,ci CIV,"DF,MF",Le Havre,26,1997,27.2,3,23,10,43.5,0.85,0.37,0.13,0.30,0,0,Matches
408,Gift Orban,ng NGA,FW,Lyon,21,2002,5.3,1,8,2,25.0,1.52,0.38,0.13,0.50,0,0,Matches
409,Kassoum Ouattara,fr FRA,"DF,MF",Monaco,18,2004,7.1,1,8,5,62.5,1.13,0.71,0.13,0.20,0,0,Matches
410,Alexandre Oukidja,dz ALG,GK,Metz,35,1988,33.2,0,0,0,,0.00,0.00,,,0,0,Matches
411,Azzedine Ounahi,ma MAR,MF,Marseille,23,2000,13.4,2,16,4,25.0,1.19,0.30,0.13,0.50,0,0,Matches
412,Adam Ounas,dz ALG,MF,Lille,26,1996,4.6,1,9,4,44.4,1.94,0.86,0.11,0.25,0,0,Matches
413,Patrick Ouotro,ci CIV,FW,Strasbourg,17,2005,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
414,Pablo Pagis,fr FRA,MF,Lorient,20,2002,1.8,0,3,1,33.3,1.64,0.55,0.00,0.00,0,0,Matches
415,Nicolas Pallois,fr FRA,DF,Nantes,35,1987,17.7,0,4,1,25.0,0.23,0.06,0.00,0.00,0,0,Matches
416,Andy Pelmard,mg MAD,DF,Clermont Foot,23,2000,33.2,0,2,1,50.0,0.06,0.03,0.00,0.00,0,0,Matches
417,Aurélien Pelon,fr FRA,DF,Lorient,19,2004,1.0,0,0,0,,0.00,0.00,,,0,0,Matches
418,Faris Pemi Moumbagna,cm CMR,FW,Marseille,23,2000,6.1,3,16,5,31.3,2.63,0.82,0.19,0.60,0,0,Matches
419,Danilo Pereira,pt POR,DF,Paris Saint-Germain,31,1991,22.2,0,10,1,10.0,0.45,0.05,0.00,0.00,0,0,Matches
420,Mathias Pereira Lage,pt POR,"MF,FW",Brest,26,1996,13.2,3,36,16,44.4,2.73,1.21,0.08,0.19,0,0,Matches
421,Romain Perraud,fr FRA,DF,Nice,25,1997,4.1,0,2,0,0.0,0.49,0.00,0.00,,0,0,Matches
422,Lucas Perrin,fr FRA,DF,Strasbourg,24,1998,30.3,0,12,3,25.0,0.40,0.10,0.00,0.00,0,0,Matches
423,Denis Petrić,rs SRB,GK,Nantes,35,1988,0.3,0,0,0,,0.00,0.00,,,0,0,Matches
424,Ronaël Pierre-Gabriel,fr FRA,"DF,MF",Nantes,25,1998,6.6,0,7,0,0.0,1.05,0.00,0.00,,0,0,Matches
425,Julien Ponceau,fr FRA,MF,Lorient,22,2000,24.9,3,33,13,39.4,1.32,0.52,0.09,0.23,0,0,Matches
426,Sanjin Prcić,ba BIH,MF,Strasbourg,29,1993,1.0,0,1,0,0.0,1.02,0.00,0.00,,0,0,Matches
427,Gonçalo Ramos,pt POR,FW,Paris Saint-Germain,22,2001,15.8,11,55,21,38.2,3.49,1.33,0.18,0.48,1,1,Matches
428,Elba Rashani,xk KVX,"MF,FW",Clermont Foot,30,1993,13.1,2,16,5,31.3,1.23,0.38,0.13,0.40,0,0,Matches
429,Guillaume Restes,fr FRA,GK,Toulouse,18,2005,34.0,0,0,0,,0.00,0.00,,,0,0,Matches
430,Alexsandro Ribeiro,br BRA,DF,Lille,23,1999,24.7,0,17,2,11.8,0.69,0.08,0.00,0.00,0,0,Matches
431,Amir Richardson,ma MAR,MF,Reims,21,2002,15.0,3,17,8,47.1,1.13,0.53,0.18,0.38,0,0,Matches
432,Fabian Rieder,ch SUI,MF,Rennes,21,2002,4.1,1,5,2,40.0,1.23,0.49,0.20,0.50,0,0,Matches
433,Rémy Riou,fr FRA,GK,Lyon,35,1987,3.0,0,0,0,,0.00,0.00,,,0,0,Matches
434,Valentin Rongier,fr FRA,MF,Marseille,28,1994,9.5,0,10,3,30.0,1.06,0.32,0.00,0.00,0,0,Matches
435,Pablo Rosario,do DOM,"MF,DF",Nice,26,1997,22.3,0,16,3,18.8,0.72,0.13,0.00,0.00,0,0,Matches
436,Valentin Rosier,fr FRA,"DF,MF",Nice,26,1996,0.6,0,1,0,0.0,1.70,0.00,0.00,,0,0,Matches
437,Fabián Ruiz Peña,es ESP,MF,Paris Saint-Germain,27,1996,13.3,1,19,6,31.6,1.43,0.45,0.05,0.17,0,0,Matches
438,Emmanuel Sabbi,us USA,"MF,FW",Le Havre,25,1997,17.6,5,31,11,35.5,1.76,0.62,0.10,0.27,2,2,Matches
439,Falaye Sacko,ml MLI,DF,Montpellier,28,1995,15.4,0,1,0,0.0,0.07,0.00,0.00,,0,0,Matches
440,Modibo Sagnan,ml MLI,DF,Montpellier,24,1999,11.7,2,10,3,30.0,0.85,0.26,0.20,0.67,0,0,Matches
441,Moïse Sahi Dion,ci CIV,"MF,FW",Strasbourg,21,2001,7.0,3,24,7,29.2,3.44,1.00,0.13,0.43,0,0,Matches
442,Wesley Saïd,fr FRA,FW,Lens,28,1995,11.3,7,45,19,42.2,3.97,1.68,0.16,0.37,0,0,Matches
443,Théo Sainte-Luce,fr FRA,DF,Montpellier,24,1998,3.8,0,3,1,33.3,0.78,0.26,0.00,0.00,0,0,Matches
444,Mamadou Sakho,fr FRA,DF,Montpellier,33,1990,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
445,Ibrahim Salah,ma MAR,"MF,FW",Rennes,21,2001,5.8,4,17,9,52.9,2.92,1.55,0.24,0.44,0,0,Matches
446,Amine Salama,fr FRA,FW,Reims,23,2000,3.5,0,6,2,33.3,1.73,0.58,0.00,0.00,0,0,Matches
447,Mohammed Salisu,gh GHA,DF,Monaco,24,1999,11.5,0,4,1,25.0,0.35,0.09,0.00,0.00,0,0,Matches
448,Yoann Salmier,gf GUF,DF,Le Havre,30,1992,17.4,1,10,4,40.0,0.57,0.23,0.10,0.25,0,0,Matches
449,Mama Samba Baldé,gw GNB,FW,Lyon,27,1995,6.1,2,17,9,52.9,2.78,1.47,0.12,0.22,0,0,Matches
450,Brice Samba,fr FRA,GK,Lens,29,1994,33.0,0,0,0,,0.00,0.00,,,0,0,Matches
451,Ibou Sané,sn SEN,FW,Metz,18,2005,1.4,1,2,1,50.0,1.41,0.70,0.50,1.00,0,0,Matches
452,Sadibou Sané,sn SEN,DF,Metz,19,2004,9.4,0,5,1,20.0,0.53,0.11,0.00,0.00,0,0,Matches
453,Arouna Sangante,sn SEN,DF,Le Havre,21,2002,29.9,0,16,3,18.8,0.54,0.10,0.00,0.00,0,0,Matches
454,Morgan Sanson,fr FRA,MF,Nice,28,1994,21.8,2,41,9,22.0,1.88,0.41,0.05,0.22,0,0,Matches
455,Baptiste Santamaria,fr FRA,MF,Rennes,28,1995,21.4,0,28,9,32.1,1.31,0.42,0.00,0.00,0,0,Matches
456,Andrey Santos,br BRA,MF,Strasbourg,19,2004,9.2,1,12,4,33.3,1.30,0.43,0.08,0.25,0,0,Matches
457,Tiago Santos,pt POR,DF,Lille,21,2002,26.3,1,33,7,21.2,1.26,0.27,0.03,0.14,0,0,Matches
458,Amin Sarr,se SWE,FW,Lyon,22,2001,1.1,0,5,2,40.0,4.59,1.84,0.00,0.00,0,0,Matches
459,Ismaila Sarr,sn SEN,"MF,FW",Marseille,25,1998,16.1,3,25,10,40.0,1.55,0.62,0.12,0.30,0,0,Matches
460,Mamadou Sarr,sn SEN,DF,Lyon,17,2005,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
461,Martin Satriano,uy URU,"FW,MF",Brest,22,2001,20.7,4,63,20,31.7,3.04,0.97,0.06,0.20,0,0,Matches
462,Téji Savanier,fr FRA,MF,Montpellier,31,1991,30.7,9,82,29,35.4,2.67,0.94,0.02,0.07,7,7,Matches
463,Niklas Schmidt,de GER,MF,Toulouse,25,1998,14.1,1,20,13,65.0,1.42,0.92,0.05,0.08,0,0,Matches
464,Jérémy Sebas,mq MTQ,"MF,FW",Strasbourg,20,2003,4.4,2,7,4,57.1,1.58,0.90,0.29,0.50,0,0,Matches
465,Alidu Seidu,gh GHA,DF,Rennes,23,2000,6.6,0,2,0,0.0,0.30,0.00,0.00,,0,0,Matches
466,Alidu Seidu,gh GHA,DF,Clermont Foot,23,2000,12.6,0,6,1,16.7,0.48,0.08,0.00,0.00,0,0,Matches
467,Matz Sels,be BEL,GK,Strasbourg,31,1992,19.0,0,0,0,,0.00,0.00,,,0,0,Matches
468,Marvin Senaya,tg TOG,"DF,MF",Strasbourg,22,2001,23.8,1,16,3,18.8,0.67,0.13,0.06,0.33,0,0,Matches
469,Sofiane Sidi Ali,fr FRA,FW,Marseille,28,1995,0.2,0,1,0,0.0,5.00,0.00,0.00,,0,0,Matches
470,Vincent Sierro,ch SUI,MF,Toulouse,27,1995,25.1,6,36,11,30.6,1.43,0.44,0.06,0.18,4,5,Matches
471,Caio Henrique Oliveira Silva,br BRA,"MF,DF",Monaco,26,1997,6.9,0,6,1,16.7,0.87,0.14,0.00,0.00,0,0,Matches
472,Moses Simon,ng NGA,"MF,FW",Nantes,28,1995,19.9,3,34,13,38.2,1.71,0.65,0.06,0.15,1,1,Matches
473,Wilfried Singo,ci CIV,DF,Monaco,22,2000,24.3,1,19,7,36.8,0.78,0.29,0.05,0.14,0,0,Matches
474,Ayanda Sishuba,be BEL,MF,Lens,18,2005,0.7,0,12,2,16.7,17.42,2.90,0.00,0.00,0,0,Matches
475,Ibrahima Sissoko,ml MLI,MF,Strasbourg,25,1997,18.2,0,14,3,21.4,0.77,0.16,0.00,0.00,0,0,Matches
476,Moussa Sissoko,fr FRA,MF,Nantes,33,1989,20.2,0,10,3,30.0,0.49,0.15,0.00,0.00,0,0,Matches
477,Milan Škriniar,sk SVK,DF,Paris Saint-Germain,28,1995,18.1,0,3,1,33.3,0.17,0.06,0.00,0.00,0,0,Matches
478,Naatan Skyttä,fi FIN,MF,Toulouse,21,2002,1.3,0,5,2,40.0,3.75,1.50,0.00,0.00,0,0,Matches
479,Eduard Sobol,ua UKR,"DF,MF",Strasbourg,28,1995,0.3,0,0,0,,0.00,0.00,,,0,0,Matches
480,Emran Soglo,fr FRA,MF,Marseille,18,2005,1.2,1,1,1,100.0,0.83,0.83,1.00,1.00,0,0,Matches
481,Carlos Soler,es ESP,"MF,DF",Paris Saint-Germain,26,1997,12.1,2,14,5,35.7,1.16,0.41,0.14,0.40,0,0,Matches
482,Florian Sotoca,fr FRA,"MF,FW",Lens,32,1990,28.9,7,69,22,31.9,2.39,0.76,0.04,0.14,4,4,Matches
483,Issa Soumaré,sn SEN,"FW,MF",Le Havre,22,2000,2.6,0,5,1,20.0,1.90,0.38,0.00,0.00,0,0,Matches
484,Saidou Sow,gn GUI,DF,Strasbourg,21,2002,8.0,0,3,2,66.7,0.38,0.25,0.00,0.00,0,0,Matches
485,Stijn Spierings,nl NED,MF,Toulouse,27,1996,16.8,0,11,1,9.1,0.65,0.06,0.00,0.00,0,0,Matches
486,Stijn Spierings,nl NED,MF,Lens,27,1996,1.3,0,0,0,,0.00,0.00,,,0,0,Matches
487,Benjamin Stambouli,fr FRA,MF,Reims,32,1990,3.2,0,2,0,0.0,0.63,0.00,0.00,,0,0,Matches
488,Gabriel Suazo,cl CHI,"DF,MF",Toulouse,25,1997,26.2,0,10,3,30.0,0.38,0.11,0.00,0.00,0,0,Matches
489,Abakar Sylla,ci CIV,DF,Strasbourg,20,2002,19.9,2,11,5,45.5,0.55,0.25,0.18,0.40,0,0,Matches
490,Dembo Sylla,gn GUI,MF,Lorient,20,2002,0.5,0,1,0,0.0,2.00,0.00,0.00,,0,0,Matches
491,Issiaga Sylla,gn GUI,"DF,MF",Montpellier,29,1994,16.2,1,12,5,41.7,0.74,0.31,0.08,0.20,0,0,Matches
492,Musa Al-Taamari,jo JOR,"MF,FW",Montpellier,26,1997,21.4,5,47,20,42.6,2.19,0.93,0.11,0.25,0,0,Matches
493,Nicolás Tagliafico,ar ARG,"DF,MF",Lyon,30,1992,23.6,3,15,6,40.0,0.64,0.25,0.20,0.50,0,0,Matches
494,Montassar Talbi,tn TUN,DF,Lorient,25,1998,24.5,0,5,2,40.0,0.20,0.08,0.00,0.00,0,0,Matches
495,Oussama Targhalline,ma MAR,MF,Le Havre,21,2002,11.4,0,6,0,0.0,0.53,0.00,0.00,,0,0,Matches
496,Enzo Tchato,cm CMR,DF,Montpellier,20,2002,12.5,0,5,1,20.0,0.40,0.08,0.00,0.00,0,0,Matches
497,Arnau Tenas,es ESP,GK,Paris Saint-Germain,22,2001,5.9,0,0,0,,0.00,0.00,,,0,0,Matches
498,Martin Terrier,fr FRA,"FW,MF",Rennes,26,1997,17.0,7,38,16,42.1,2.24,0.94,0.18,0.44,0,0,Matches
499,Benjamin Tetteh,gh GHA,FW,Metz,26,1997,3.1,0,3,1,33.3,0.97,0.32,0.00,0.00,0,0,Matches
500,Teddy Teuma,mt MLT,MF,Reims,29,1993,23.5,6,44,15,34.1,1.87,0.64,0.11,0.33,1,1,Matches
501,Arthur Theate,be BEL,DF,Rennes,23,2000,25.5,2,22,5,22.7,0.86,0.20,0.09,0.40,0,0,Matches
502,Adrien Thomasson,fr FRA,MF,Lens,29,1993,13.3,1,31,6,19.4,2.34,0.45,0.03,0.17,0,0,Matches
503,Khéphren Thuram,fr FRA,MF,Nice,22,2001,23.4,1,39,11,28.2,1.67,0.47,0.03,0.09,0,0,Matches
504,Cheikh Tidiane Sabaly,sn SEN,"MF,FW",Metz,24,1999,15.3,3,21,9,42.9,1.37,0.59,0.14,0.33,0,0,Matches
505,Jean-Clair Todibo,fr FRA,DF,Nice,23,1999,29.5,0,9,1,11.1,0.31,0.03,0.00,0.00,0,0,Matches
506,Corentin Tolisso,fr FRA,MF,Lyon,28,1994,19.3,3,39,14,35.9,2.02,0.72,0.05,0.14,1,1,Matches
507,Abdoulaye Touré,gn GUI,MF,Le Havre,29,1994,25.4,2,33,10,30.3,1.30,0.39,0.00,0.00,2,2,Matches
508,Souleymane Touré,fr FRA,DF,Lorient,20,2003,22.8,1,18,9,50.0,0.79,0.39,0.06,0.11,0,0,Matches
509,Bénie Traoré,ci CIV,FW,Nantes,20,2002,5.6,0,7,4,57.1,1.25,0.71,0.00,0.00,0,0,Matches
510,Daouda Traoré,fr FRA,MF,Nice,17,2006,0.2,0,1,0,0.0,5.63,0.00,0.00,,0,0,Matches
511,Ismaël Traoré,ci CIV,DF,Metz,36,1986,24.7,2,10,4,40.0,0.41,0.16,0.20,0.50,0,0,Matches
512,Adrien Truffert,fr FRA,"DF,MF",Rennes,21,2001,23.8,1,20,7,35.0,0.84,0.29,0.05,0.14,0,0,Matches
513,Matthieu Udol,fr FRA,DF,Metz,27,1996,30.0,3,19,8,42.1,0.63,0.27,0.16,0.38,0,0,Matches
514,Manuel Ugarte,uy URU,MF,Paris Saint-Germain,22,2001,21.5,0,10,1,10.0,0.47,0.05,0.00,0.00,0,0,Matches
515,Samuel Umtiti,fr FRA,DF,Lille,29,1993,2.1,0,0,0,,0.00,0.00,,,0,0,Matches
516,Kévin Van Den Kerkhof,dz ALG,"MF,FW",Metz,27,1996,21.3,1,20,7,35.0,0.94,0.33,0.05,0.14,0,0,Matches
517,Vanderson,br BRA,"MF,DF",Monaco,22,2001,18.2,3,30,10,33.3,1.65,0.55,0.10,0.30,0,0,Matches
518,Jordan Veretout,fr FRA,MF,Marseille,30,1993,24.3,1,36,9,25.0,1.48,0.37,0.03,0.11,0,0,Matches
519,Alan Virginius,fr FRA,MF,Lille,20,2003,0.8,0,0,0,,0.00,0.00,,,0,0,Matches
520,Alan Virginius,fr FRA,"MF,FW",Clermont Foot,20,2003,10.4,0,10,6,60.0,0.96,0.58,0.00,0.00,0,0,Matches
521,Vitinha,pt POR,MF,Paris Saint-Germain,23,2000,23.6,7,45,19,42.2,1.90,0.80,0.16,0.37,0,0,Matches
522,Vitinha,pt POR,FW,Marseille,23,2000,10.3,3,37,9,24.3,3.61,0.88,0.08,0.33,0,0,Matches
523,Elye Wahi,fr FRA,FW,Lens,20,2003,18.8,9,60,32,53.3,3.19,1.70,0.13,0.25,1,1,Matches
524,Elye Wahi,fr FRA,FW,Montpellier,20,2003,0.2,0,0,0,,0.00,0.00,,,0,0,Matches
525,Mateusz Wieteska,pl POL,DF,Clermont Foot,26,1997,1.9,1,3,2,66.7,1.55,1.03,0.33,0.50,0,0,Matches
526,Josh Wilson-Esbrand,eng ENG,"DF,MF",Reims,20,2002,5.1,1,4,1,25.0,0.78,0.20,0.25,1.00,0,0,Matches
527,Christopher Wooh,cm CMR,DF,Rennes,21,2001,15.4,1,10,2,20.0,0.65,0.13,0.10,0.50,0,0,Matches
528,Yusuf Yazıcı,tr TUR,"MF,FW",Lille,26,1997,14.6,5,40,14,35.0,2.74,0.96,0.13,0.36,0,0,Matches
529,Kelvin Yeboah,it ITA,FW,Montpellier,23,2000,3.1,0,7,4,57.1,2.28,1.30,0.00,0.00,0,0,Matches
530,Bertuğ Yıldırım,tr TUR,FW,Rennes,21,2002,5.2,0,10,4,40.0,1.92,0.77,0.00,0.00,0,0,Matches
531,Darlin Yongwa,cm CMR,"MF,DF",Lorient,22,2000,12.9,1,15,5,33.3,1.16,0.39,0.07,0.20,0,0,Matches
532,Leny Yoro,fr FRA,DF,Lille,17,2005,29.7,2,14,8,57.1,0.47,0.27,0.14,0.25,0,0,Matches
533,Etienne Youte Kinkoue,fr FRA,DF,Le Havre,21,2002,21.6,0,6,0,0.0,0.28,0.00,0.00,,0,0,Matches
534,Yoram Zague,fr FRA,DF,Paris Saint-Germain,17,2006,4.1,1,2,1,50.0,0.48,0.24,0.50,1.00,0,0,Matches
535,Warren Zaïre-Emery,fr FRA,"MF,DF",Paris Saint-Germain,17,2006,21.8,2,14,4,28.6,0.64,0.18,0.14,0.50,0,0,Matches
536,Denis Zakaria,ch SUI,"MF,DF",Monaco,26,1996,23.7,4,26,10,38.5,1.09,0.42,0.15,0.40,0,0,Matches
537,Mehdi Zeffane,dz ALG,"MF,DF",Clermont Foot,31,1992,13.7,0,19,1,5.3,1.39,0.07,0.00,0.00,0,0,Matches
538,Nathan Zeze,fr FRA,DF,Nantes,18,2005,11.4,0,3,0,0.0,0.26,0.00,0.00,,0,0,Matches
539,Edon Zhegrova,xk KVX,"MF,FW",Lille,24,1999,25.4,6,82,29,35.4,3.23,1.14,0.07,0.21,0,0,Matches
540,Luck Zogbé,ci CIV,DF,Brest,18,2005,0.1,0,0,0,,0.00,0.00,,,0,0,Matches
