Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Tammy Abraham,eng ENG,FW,Roma,25,1997,2.7,,1,,,,,,,,,,,0,,,,Matches
2,Francesco Acerbi,it ITA,DF,Inter,35,1988,26.5,,14,,,,,,,,,,,32,,,,Matches
3,Yacine Adli,fr FRA,MF,Milan,23,2000,15.6,,17,,,,,,,,,,,18,,,,Matches
4,Michel Aebischer,ch SUI,MF,Bologna,26,1997,24.8,,20,,,,,,,,,,,11,,,,Matches
5,Lucien Agoume,fr FRA,MF,Inter,21,2002,0.1,,0,,,,,,,,,,,0,,,,Matches
6,Marley Aké,fr FRA,"FW,MF",Udinese,22,2001,0.1,,0,,,,,,,,,,,0,,,,Matches
7,Ebenezer Akinsanmiro,ng NGA,MF,Inter,18,2004,0.2,,0,,,,,,,,,,,0,,,,Matches
8,Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,30,1992,7.8,,13,,,,,,,,,,,9,,,,Matches
9,David Akpan Ankeye,ng NGA,FW,Genoa,21,2002,0.6,,0,,,,,,,,,,,0,,,,Matches
10,Luis Alberto,es ESP,MF,Lazio,30,1992,25.7,,21,,,,,,,,,,,6,,,,Matches
11,Carlos Alcaraz,ar ARG,MF,Juventus,20,2002,4.2,,6,,,,,,,,,,,5,,,,Matches
12,Pontus Almqvist,se SWE,"FW,MF",Lecce,24,1999,23.4,,28,,,,,,,,,,,14,,,,Matches
13,Lorenzo Amatucci,it ITA,MF,Fiorentina,19,2004,0.2,,0,,,,,,,,,,,0,,,,Matches
14,Bruno Amione,ar ARG,DF,Hellas Verona,21,2002,6.4,,7,,,,,,,,,,,9,,,,Matches
15,Felipe Anderson,br BRA,"FW,MF",Lazio,30,1993,30.8,,44,,,,,,,,,,,27,,,,Matches
16,Angeliño,es ESP,"DF,MF",Roma,26,1997,12.7,,11,,,,,,,,,,,12,,,,Matches
17,Houssem Aouar,dz ALG,"MF,FW",Roma,25,1998,8.4,,11,,,,,,,,,,,4,,,,Matches
18,Simone Aresti,it ITA,GK,Cagliari,37,1986,0.0,,0,,,,,,,,,,,0,,,,Matches
19,Marko Arnautović,at AUT,FW,Inter,34,1989,8.9,,3,,,,,,,,,,,5,,,,Matches
20,Kristjan Asllani,al ALB,MF,Inter,21,2002,8.7,,2,,,,,,,,,,,11,,,,Matches
21,Emil Audero,id IDN,GK,Inter,26,1997,3.7,,0,,,,,,,,,,,0,,,,Matches
22,Tommaso Augello,it ITA,"DF,MF",Cagliari,28,1994,26.9,,20,,,,,,,,,,,13,,,,Matches
23,Carlos Augusto,br BRA,"MF,DF",Inter,24,1999,19.2,,22,,,,,,,,,,,14,,,,Matches
24,Yann Aurel Bisseck,de GER,DF,Inter,22,2000,10.0,,6,,,,,,,,,,,6,,,,Matches
25,Sardar Azmoun,ir IRN,"FW,MF",Roma,28,1995,6.5,,5,,,,,,,,,,,3,,,,Matches
26,Paulo Azzi,br BRA,"MF,DF",Cagliari,29,1994,10.6,,11,,,,,,,,,,,17,,,,Matches
27,Oussama El Azzouzi,ma MAR,MF,Bologna,22,2001,6.1,,8,,,,,,,,,,,5,,,,Matches
28,Milan Badelj,hr CRO,MF,Genoa,34,1989,28.2,,28,,,,,,,,,,,49,,,,Matches
29,Jaime Báez,uy URU,"MF,FW",Frosinone,28,1995,5.6,,1,,,,,,,,,,,4,,,,Matches
30,Nicola Bagnolini,it ITA,GK,Bologna,19,2004,0.1,,0,,,,,,,,,,,0,,,,Matches
31,Nedim Bajrami,al ALB,"MF,FW",Sassuolo,24,1999,14.6,,6,,,,,,,,,,,5,,,,Matches
32,Mitchel Bakker,nl NED,MF,Atalanta,23,2000,4.2,,4,,,,,,,,,,,3,,,,Matches
33,Tommaso Baldanzi,it ITA,"MF,FW",Empoli,20,2003,8.3,,3,,,,,,,,,,,2,,,,Matches
34,Tommaso Baldanzi,it ITA,"MF,FW",Roma,20,2003,5.8,,5,,,,,,,,,,,0,,,,Matches
35,Lameck Banda,zm ZAM,"FW,MF",Lecce,22,2001,15.0,,23,,,,,,,,,,,3,,,,Matches
36,Daniel Bandeira,pt POR,MF,Hellas Verona,23,2000,5.0,,5,,,,,,,,,,,4,,,,Matches
37,Mattia Bani,it ITA,DF,Genoa,29,1993,25.6,,10,,,,,,,,,,,21,,,,Matches
38,Antonín Barák,cz CZE,"MF,FW",Fiorentina,28,1994,9.0,,2,,,,,,,,,,,2,,,,Matches
39,Nicolò Barella,it ITA,MF,Inter,26,1997,31.6,,28,,,,,,,,,,,8,,,,Matches
40,Enzo Barrenechea,ar ARG,MF,Frosinone,22,2001,31.2,,42,,,,,,,,,,,28,,,,Matches
41,Davide Bartesaghi,it ITA,DF,Milan,17,2005,0.9,,1,,,,,,,,,,,0,,,,Matches
42,Federico Baschirotto,it ITA,DF,Lecce,26,1996,36.6,,11,,,,,,,,,,,22,,,,Matches
43,Toma Bašić,hr CRO,MF,Salernitana,26,1996,12.9,,13,,,,,,,,,,,14,,,,Matches
44,Alessandro Bastoni,it ITA,DF,Inter,24,1999,25.2,,32,,,,,,,,,,,25,,,,Matches
45,Simone Bastoni,it ITA,"MF,DF",Empoli,26,1996,8.3,,12,,,,,,,,,,,11,,,,Matches
46,Reda Belahyane,ma MAR,MF,Hellas Verona,19,2004,1.0,,1,,,,,,,,,,,1,,,,Matches
47,Raoul Bellanova,it ITA,MF,Torino,23,2000,33.8,,26,,,,,,,,,,,15,,,,Matches
48,Andrea Belotti,it ITA,FW,Fiorentina,29,1993,10.5,,3,,,,,,,,,,,3,,,,Matches
49,Andrea Belotti,it ITA,FW,Roma,29,1993,7.5,,4,,,,,,,,,,,1,,,,Matches
50,Lucas Beltrán,ar ARG,"FW,MF",Fiorentina,22,2001,18.8,,14,,,,,,,,,,,2,,,,Matches
51,Ismaël Bennacer,dz ALG,MF,Milan,25,1997,12.8,,21,,,,,,,,,,,11,,,,Matches
52,Domenico Berardi,it ITA,"MF,FW",Sassuolo,28,1994,15.9,,6,,,,,,,,,,,13,,,,Matches
53,Bartosz Bereszyński,pl POL,DF,Empoli,31,1992,19.6,,26,,,,,,,,,,,21,,,,Matches
54,Etrit Berisha,al ALB,GK,Empoli,34,1989,14.0,,0,,,,,,,,,,,0,,,,Matches
55,Medon Berisha,al ALB,MF,Lecce,19,2003,2.3,,0,,,,,,,,,,,1,,,,Matches
56,Victor Bernth Kristiansen,dk DEN,DF,Bologna,20,2002,25.6,,33,,,,,,,,,,,12,,,,Matches
57,Beto,gw GNB,FW,Udinese,25,1998,0.8,,0,,,,,,,,,,,0,,,,Matches
58,Davide Bettella,it ITA,DF,Monza,23,2000,0.0,,0,,,,,,,,,,,0,,,,Matches
59,Sam Beukema,nl NED,DF,Bologna,24,1998,28.3,,12,,,,,,,,,,,17,,,,Matches
60,Jaka Bijol,si SVN,DF,Udinese,24,1999,23.2,,28,,,,,,,,,,,23,,,,Matches
61,El Bilal Touré,ml MLI,FW,Atalanta,21,2001,4.4,,1,,,,,,,,,,,1,,,,Matches
62,Cristiano Biraghi,it ITA,DF,Fiorentina,30,1992,26.2,,30,,,,,,,,,,,15,,,,Matches
63,Davide Biraschi,it ITA,DF,Genoa,29,1994,1.0,,3,,,,,,,,,,,3,,,,Matches
64,Samuele Birindelli,it ITA,"MF,DF",Monza,24,1999,22.4,,20,,,,,,,,,,,16,,,,Matches
65,Alexis Blin,fr FRA,MF,Lecce,26,1996,18.2,,21,,,,,,,,,,,21,,,,Matches
66,Jérôme Boateng,de GER,DF,Salernitana,34,1988,2.6,,0,,,,,,,,,,,4,,,,Matches
67,Emil Bohinen,no NOR,MF,Salernitana,24,1999,5.9,,6,,,,,,,,,,,14,,,,Matches
68,Emil Bohinen,no NOR,MF,Genoa,24,1999,0.6,,1,,,,,,,,,,,0,,,,Matches
69,Daniel Boloca,ro ROU,MF,Sassuolo,24,1998,22.5,,33,,,,,,,,,,,15,,,,Matches
70,Giacomo Bonaventura,it ITA,MF,Fiorentina,33,1989,25.3,,13,,,,,,,,,,,12,,,,Matches
71,Federico Bonazzoli,it ITA,FW,Hellas Verona,26,1997,11.3,,1,,,,,,,,,,,3,,,,Matches
72,Warren Bondo,fr FRA,MF,Monza,19,2003,16.4,,23,,,,,,,,,,,6,,,,Matches
73,Giovanni Bonfanti,it ITA,DF,Atalanta,20,2003,1.0,,2,,,,,,,,,,,1,,,,Matches
74,Kevin Bonifazi,it ITA,DF,Frosinone,27,1996,3.4,,3,,,,,,,,,,,3,,,,Matches
75,Kevin Bonifazi,it ITA,DF,Bologna,27,1996,1.0,,0,,,,,,,,,,,0,,,,Matches
76,Gennaro Borrelli,it ITA,FW,Frosinone,23,2000,0.3,,0,,,,,,,,,,,0,,,,Matches
77,Erik Botheim,no NOR,"FW,MF",Salernitana,23,2000,3.5,,0,,,,,,,,,,,0,,,,Matches
78,Mehdi Bourabia,ma MAR,MF,Frosinone,31,1991,2.2,,4,,,,,,,,,,,1,,,,Matches
79,Edoardo Bove,it ITA,MF,Roma,21,2002,19.8,,31,,,,,,,,,,,10,,,,Matches
80,Domagoj Bradarić,hr CRO,"MF,DF",Salernitana,23,1999,30.5,,21,,,,,,,,,,,31,,,,Matches
81,Josip Brekalo,hr CRO,MF,Fiorentina,25,1998,7.2,,6,,,,,,,,,,,1,,,,Matches
82,Gleison Bremer,br BRA,DF,Juventus,26,1997,35.9,,44,,,,,,,,,,,36,,,,Matches
83,Brenner,br BRA,"MF,FW",Udinese,23,2000,2.1,,6,,,,,,,,,,,0,,,,Matches
84,Marco Brescianini,it ITA,MF,Frosinone,23,2000,25.8,,12,,,,,,,,,,,9,,,,Matches
85,Dylan Bronn,tn TUN,DF,Salernitana,28,1995,0.6,,0,,,,,,,,,,,0,,,,Matches
86,Tajon Buchanan,ca CAN,"DF,MF",Inter,24,1999,1.8,,1,,,,,,,,,,,0,,,,Matches
87,Alessandro Buongiorno,it ITA,DF,Torino,24,1999,28.1,,39,,,,,,,,,,,72,,,,Matches
88,Rareș-Cătălin Burnete,ro ROU,FW,Lecce,19,2004,0.1,,0,,,,,,,,,,,0,,,,Matches
89,Jovane Cabral,cv CPV,"MF,FW",Salernitana,25,1998,7.5,,9,,,,,,,,,,,1,,,,Matches
90,Liberato Cacace,nz NZL,"DF,MF",Empoli,22,2000,21.2,,23,,,,,,,,,,,19,,,,Matches
91,Jens Cajuste,se SWE,MF,Napoli,23,1999,11.3,,22,,,,,,,,,,,3,,,,Matches
92,Davide Calabria,it ITA,DF,Milan,26,1996,24.3,,40,,,,,,,,,,,21,,,,Matches
93,Riccardo Calafiori,it ITA,DF,Bologna,21,2002,26.1,,31,,,,,,,,,,,51,,,,Matches
94,Mattia Caldara,it ITA,DF,Milan,29,1994,0.4,,1,,,,,,,,,,,1,,,,Matches
95,Luca Caldirola,it ITA,DF,Monza,32,1991,23.8,,14,,,,,,,,,,,25,,,,Matches
96,Hakan Çalhanoğlu,tr TUR,MF,Inter,29,1994,28.4,,37,,,,,,,,,,,22,,,,Matches
97,Francesco Camarda,it ITA,FW,Milan,15,2008,0.2,,0,,,,,,,,,,,0,,,,Matches
98,Nicolò Cambiaghi,it ITA,"FW,MF",Empoli,22,2000,28.4,,40,,,,,,,,,,,14,,,,Matches
99,Andrea Cambiaso,it ITA,MF,Juventus,23,2000,26.4,,30,,,,,,,,,,,11,,,,Matches
100,Matteo Cancellieri,it ITA,"FW,MF",Empoli,21,2002,19.9,,24,,,,,,,,,,,5,,,,Matches
101,Antonio Candreva,it ITA,MF,Salernitana,36,1987,30.6,,13,,,,,,,,,,,7,,,,Matches
102,Luigi Canotto,it ITA,"FW,MF",Frosinone,29,1994,0.2,,0,,,,,,,,,,,0,,,,Matches
103,Gianluca Caprari,it ITA,"MF,FW",Monza,30,1993,3.2,,1,,,,,,,,,,,2,,,,Matches
104,Elia Caprile,it ITA,GK,Empoli,21,2001,23.0,,0,,,,,,,,,,,0,,,,Matches
105,Francesco Caputo,it ITA,FW,Empoli,35,1987,14.1,,0,,,,,,,,,,,0,,,,Matches
106,Andrea Carboni,it ITA,DF,Monza,22,2001,16.5,,22,,,,,,,,,,,17,,,,Matches
107,Valentin Carboni,ar ARG,MF,Monza,18,2005,13.0,,13,,,,,,,,,,,7,,,,Matches
108,Marco Carnesecchi,it ITA,GK,Atalanta,23,2000,26.9,,0,,,,,,,,,,,0,,,,Matches
109,Nicolò Casale,it ITA,DF,Lazio,25,1998,17.3,,10,,,,,,,,,,,11,,,,Matches
110,Giuseppe Caso,it ITA,FW,Frosinone,24,1998,4.6,,3,,,,,,,,,,,0,,,,Matches
111,Valentín Castellanos,ar ARG,FW,Lazio,24,1998,18.7,,11,,,,,,,,,,,3,,,,Matches
112,Samu Castillejo,es ESP,"MF,FW",Sassuolo,28,1995,6.0,,10,,,,,,,,,,,1,,,,Matches
113,Santiago Castro,ar ARG,FW,Bologna,18,2004,2.7,,1,,,,,,,,,,,0,,,,Matches
114,Gaetano Castrovilli,it ITA,MF,Fiorentina,26,1997,4.1,,2,,,,,,,,,,,2,,,,Matches
115,Danilo Cataldi,it ITA,MF,Lazio,28,1994,15.1,,11,,,,,,,,,,,18,,,,Matches
116,Emil Ceide,no NOR,FW,Sassuolo,21,2001,2.0,,1,,,,,,,,,,,0,,,,Matches
117,Zeki Çelik,tr TUR,"DF,MF",Roma,26,1997,7.5,,15,,,,,,,,,,,8,,,,Matches
118,Fabien Centonze,fr FRA,DF,Hellas Verona,27,1996,7.5,,8,,,,,,,,,,,9,,,,Matches
119,Michele Cerofolini,it ITA,GK,Frosinone,24,1999,7.5,,0,,,,,,,,,,,0,,,,Matches
120,Alberto Cerri,it ITA,FW,Empoli,27,1996,6.1,,3,,,,,,,,,,,3,,,,Matches
121,Leonardo Cerri,it ITA,FW,Juventus,20,2003,0.1,,0,,,,,,,,,,,0,,,,Matches
122,Charlys,br BRA,MF,Hellas Verona,19,2004,0.3,,0,,,,,,,,,,,1,,,,Matches
123,Walid Cheddira,ma MAR,FW,Frosinone,25,1998,23.6,,7,,,,,,,,,,,4,,,,Matches
124,Federico Chiesa,it ITA,FW,Juventus,25,1997,24.4,,11,,,,,,,,,,,6,,,,Matches
125,Oliver Christensen,dk DEN,GK,Fiorentina,24,1999,4.0,,0,,,,,,,,,,,0,,,,Matches
126,Samuel Chukwueze,ng NGA,"MF,FW",Milan,24,1999,11.3,,7,,,,,,,,,,,6,,,,Matches
127,Alphadjo Cissè,it ITA,MF,Hellas Verona,16,2006,0.1,,0,,,,,,,,,,,0,,,,Matches
128,Giorgio Cittadini,it ITA,DF,Monza,21,2002,0.2,,1,,,,,,,,,,,0,,,,Matches
129,Giorgio Cittadini,it ITA,DF,Genoa,21,2002,1.2,,5,,,,,,,,,,,3,,,,Matches
130,Patrick Ciurria,it ITA,MF,Monza,28,1995,17.8,,20,,,,,,,,,,,9,,,,Matches
131,Lorenzo Colombo,it ITA,FW,Monza,21,2002,15.1,,11,,,,,,,,,,,0,,,,Matches
132,Andrea Colpani,it ITA,MF,Monza,24,1999,29.5,,15,,,,,,,,,,,12,,,,Matches
133,Pietro Comuzzo,it ITA,DF,Fiorentina,18,2005,0.5,,1,,,,,,,,,,,1,,,,Matches
134,Andrea Consigli,it ITA,GK,Sassuolo,36,1987,35.0,,0,,,,,,,,,,,0,,,,Matches
135,Nikita Contini Baranovsky,it ITA,GK,Napoli,27,1996,0.2,,0,,,,,,,,,,,0,,,,Matches
136,Diego Coppola,it ITA,DF,Hellas Verona,19,2003,18.2,,22,,,,,,,,,,,28,,,,Matches
137,Tommaso Corazza,it ITA,DF,Bologna,19,2004,2.2,,4,,,,,,,,,,,5,,,,Matches
138,Jeppe Corfitzen,dk DEN,FW,Lecce,18,2004,0.1,,0,,,,,,,,,,,0,,,,Matches
139,Giacomo Corona,it ITA,FW,Empoli,19,2004,0.1,,0,,,,,,,,,,,0,,,,Matches
140,João Costa,br BRA,FW,Roma,18,2005,0.2,,0,,,,,,,,,,,0,,,,Matches
141,Benoît Costil,fr FRA,GK,Salernitana,36,1987,13.0,,1,,,,,,,,,,,0,,,,Matches
142,Lassana Coulibaly,ml MLI,MF,Salernitana,27,1996,23.1,,33,,,,,,,,,,,17,,,,Matches
143,Mamadou Coulibaly,sn SEN,MF,Salernitana,24,1999,0.0,,0,,,,,,,,,,,0,,,,Matches
144,Alessio Cragno,it ITA,GK,Sassuolo,29,1994,3.0,,0,,,,,,,,,,,0,,,,Matches
145,Bryan Cristante,it ITA,MF,Roma,28,1995,36.5,,41,,,,,,,,,,,23,,,,Matches
146,Juan Cruz,ar ARG,FW,Hellas Verona,24,1999,1.2,,2,,,,,,,,,,,1,,,,Matches
147,Juan Cuadrado,co COL,"DF,FW",Inter,35,1988,3.0,,3,,,,,,,,,,,1,,,,Matches
148,Marvin Cuni,al ALB,FW,Frosinone,22,2001,5.9,,3,,,,,,,,,,,1,,,,Matches
149,Danilo D'Ambrosio,it ITA,DF,Monza,34,1988,17.1,,34,,,,,,,,,,,15,,,,Matches
150,Flavius Daniliuc,at AUT,DF,Salernitana,22,2001,8.3,,11,,,,,,,,,,,8,,,,Matches
151,Danilo,br BRA,DF,Juventus,32,1991,27.2,,35,,,,,,,,,,,36,,,,Matches
152,Matteo Darmian,it ITA,"MF,DF",Inter,33,1989,26.7,,24,,,,,,,,,,,15,,,,Matches
153,Juan David Cabal,co COL,DF,Hellas Verona,22,2001,16.6,,29,,,,,,,,,,,28,,,,Matches
154,Keinan Davis,eng ENG,FW,Udinese,25,1998,2.1,,0,,,,,,,,,,,0,,,,Matches
155,Paweł Dawidowicz,pl POL,DF,Hellas Verona,28,1995,23.8,,30,,,,,,,,,,,22,,,,Matches
156,Charles De Ketelaere,be BEL,"FW,MF",Atalanta,22,2001,22.5,,21,,,,,,,,,,,6,,,,Matches
157,Mattia De Sciglio,it ITA,DF,Juventus,30,1992,0.5,,0,,,,,,,,,,,1,,,,Matches
158,Lorenzo De Silvestri,it ITA,DF,Bologna,35,1988,7.5,,9,,,,,,,,,,,6,,,,Matches
159,Koni De Winter,be BEL,DF,Genoa,21,2002,26.4,,25,,,,,,,,,,,23,,,,Matches
160,Grégoire Defrel,mq MTQ,"MF,FW",Sassuolo,32,1991,8.4,,7,,,,,,,,,,,4,,,,Matches
161,Alessandro Deiola,it ITA,MF,Cagliari,27,1995,17.9,,21,,,,,,,,,,,10,,,,Matches
162,Alessandro Dellavalle,it ITA,DF,Torino,19,2004,0.2,,0,,,,,,,,,,,1,,,,Matches
163,Diego Demme,de GER,MF,Napoli,31,1991,0.8,,1,,,,,,,,,,,0,,,,Matches
164,Leander Dendoncker,be BEL,"DF,MF",Napoli,28,1995,0.3,,0,,,,,,,,,,,0,,,,Matches
165,Mattia Destro,it ITA,FW,Empoli,32,1991,4.1,,1,,,,,,,,,,,3,,,,Matches
166,Federico Di Francesco,it ITA,"FW,MF",Lecce,29,1994,0.2,,0,,,,,,,,,,,0,,,,Matches
167,Raffaele Di Gennaro,it ITA,GK,Inter,29,1993,0.3,,0,,,,,,,,,,,0,,,,Matches
168,Michele Di Gregorio,it ITA,GK,Monza,26,1997,31.9,,0,,,,,,,,,,,2,,,,Matches
169,Giovanni Di Lorenzo,it ITA,DF,Napoli,29,1993,35.9,,36,,,,,,,,,,,22,,,,Matches
170,Alessandro Di Pardo,it ITA,"MF,DF",Cagliari,24,1999,4.0,,1,,,,,,,,,,,5,,,,Matches
171,Boulaye Dia,sn SEN,"FW,MF",Salernitana,26,1996,12.7,,2,,,,,,,,,,,3,,,,Matches
172,Federico Dimarco,it ITA,MF,Inter,25,1997,23.1,,26,,,,,,,,,,,7,,,,Matches
173,Tiago Djaló,pt POR,DF,Juventus,23,2000,0.2,,0,,,,,,,,,,,0,,,,Matches
174,Koffi Djidji,ci CIV,DF,Torino,30,1992,8.4,,8,,,,,,,,,,,10,,,,Matches
175,Berat Djimsiti,al ALB,DF,Atalanta,30,1993,31.5,,24,,,,,,,,,,,59,,,,Matches
176,Dodô,br BRA,DF,Fiorentina,24,1998,5.8,,3,,,,,,,,,,,5,,,,Matches
177,Josh Doig,sct SCO,"MF,DF",Hellas Verona,21,2002,9.2,,10,,,,,,,,,,,4,,,,Matches
178,Josh Doig,sct SCO,"DF,MF",Sassuolo,21,2002,14.9,,17,,,,,,,,,,,15,,,,Matches
179,Nicolás Domínguez,ar ARG,MF,Bologna,25,1998,1.1,,0,,,,,,,,,,,0,,,,Matches
180,Giulio Donati,it ITA,DF,Monza,33,1990,0.4,,0,,,,,,,,,,,0,,,,Matches
181,Patrick Dorgu,dk DEN,"MF,DF",Lecce,18,2004,17.4,,22,,,,,,,,,,,9,,,,Matches
182,Alberto Dossena,it ITA,DF,Cagliari,24,1998,33.1,,35,,,,,,,,,,,46,,,,Matches
183,Radu Drăgușin,ro ROU,DF,Genoa,21,2002,19.0,,12,,,,,,,,,,,21,,,,Matches
184,Ondrej Duda,sk SVK,MF,Hellas Verona,28,1994,27.3,,36,,,,,,,,,,,26,,,,Matches
185,Denzel Dumfries,nl NED,MF,Inter,27,1996,18.2,,11,,,,,,,,,,,12,,,,Matches
186,Alfred Duncan,gh GHA,MF,Fiorentina,30,1993,21.0,,24,,,,,,,,,,,10,,,,Matches
187,Paulo Dybala,ar ARG,"FW,MF",Roma,29,1993,21.8,,13,,,,,,,,,,,3,,,,Matches
188,Festy Ebosele,ie IRL,MF,Udinese,20,2002,18.9,,20,,,,,,,,,,,11,,,,Matches
189,Enzo Ebosse,cm CMR,DF,Udinese,24,1999,0.1,,1,,,,,,,,,,,1,,,,Matches
190,Tyronne Ebuehi,ng NGA,DF,Empoli,27,1995,12.2,,10,,,,,,,,,,,6,,,,Matches
191,Éderson,br BRA,MF,Atalanta,24,1999,31.9,,48,,,,,,,,,,,39,,,,Matches
192,Kingsley Ehizibue,nl NED,MF,Udinese,28,1995,10.6,,14,,,,,,,,,,,9,,,,Matches
193,Emmanuel Ekong,se SWE,FW,Empoli,21,2002,0.1,,0,,,,,,,,,,,0,,,,Matches
194,Caleb Ekuban,gh GHA,FW,Genoa,29,1994,12.6,,4,,,,,,,,,,,1,,,,Matches
195,Elif Elmas,mk MKD,"MF,FW",Napoli,23,1999,3.8,,3,,,,,,,,,,,1,,,,Matches
196,Martin Erlic,hr CRO,DF,Sassuolo,25,1998,29.1,,22,,,,,,,,,,,27,,,,Matches
197,Giovanni Fabbian,it ITA,MF,Bologna,20,2003,11.7,,9,,,,,,,,,,,7,,,,Matches
198,Nicolò Fagioli,it ITA,MF,Juventus,22,2001,4.9,,3,,,,,,,,,,,4,,,,Matches
199,Wladimiro Falcone,it ITA,GK,Lecce,28,1995,38.0,,0,,,,,,,,,,,1,,,,Matches
200,Davide Faraoni,it ITA,MF,Hellas Verona,31,1991,6.7,,10,,,,,,,,,,,6,,,,Matches
201,Davide Faraoni,it ITA,DF,Fiorentina,31,1991,4.4,,5,,,,,,,,,,,5,,,,Matches
202,Federico Fazio,ar ARG,DF,Salernitana,36,1987,15.1,,11,,,,,,,,,,,17,,,,Matches
203,Jacopo Fazzini,it ITA,MF,Empoli,20,2003,13.7,,25,,,,,,,,,,,11,,,,Matches
204,Lewis Ferguson,sct SCO,MF,Bologna,23,1999,30.1,,22,,,,,,,,,,,15,,,,Matches
