Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
205,Andrea Ferraris,it ITA,FW,Monza,20,2003,0.1,0,0,0,0,0,0,0,0,1,,,0,Matches
206,João Ferreira,pt POR,"DF,MF",Udinese,22,2001,20.2,9,0,0,35,11,2,21,30,43,,,0,Matches
207,Seydou Fini,it ITA,FW,Genoa,17,2006,0.4,0,0,0,0,2,0,1,0,0,,,0,Matches
208,Vincenzo Fiorillo,it ITA,GK,Salernitana,33,1990,4.0,1,1,0,0,3,0,0,0,0,,,0,Matches
209,Alessandro Florenzi,it ITA,"DF,MF",Milan,32,1991,19.2,5,0,0,12,9,2,121,20,20,,,0,Matches
210,Michael Folorunsho,it ITA,MF,Hellas Verona,25,1998,30.9,5,0,0,50,74,11,64,16,27,,,0,Matches
211,Davide Frattesi,it ITA,MF,Inter,23,1999,10.6,1,0,0,12,16,1,11,5,6,,,0,Matches
212,Morten Frendrup,dk DEN,MF,Genoa,22,2001,34.9,6,0,0,49,35,1,12,48,72,,,0,Matches
213,Remo Freuler,ch SUI,MF,Bologna,31,1992,29.2,9,0,0,44,15,0,8,34,50,,,0,Matches
214,Gerardo Fusco,it ITA,FW,Salernitana,18,2005,0.2,0,0,0,0,0,0,1,0,0,,,0,Matches
215,Matteo Gabbia,it ITA,DF,Milan,23,1999,14.2,5,0,0,27,8,0,0,10,20,,,0,Matches
216,Gianluca Gaetano,it ITA,MF,Napoli,23,2000,1.8,1,0,0,3,1,0,3,1,1,,,0,Matches
217,Gianluca Gaetano,it ITA,"MF,FW",Cagliari,23,2000,8.3,1,1,0,10,12,3,16,4,3,,,0,Matches
218,Roberto Gagliardini,it ITA,"MF,DF",Monza,29,1994,26.2,5,0,0,26,21,1,9,30,29,,,0,Matches
219,Pablo Galdames Millán,cl CHI,MF,Genoa,26,1996,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
220,Antonino Gallo,it ITA,DF,Lecce,23,2000,27.7,2,0,0,9,17,3,137,23,26,,,0,Matches
221,Luca Garritano,it ITA,MF,Frosinone,29,1994,5.4,1,0,0,6,7,0,16,3,5,,,0,Matches
222,Federico Gatti,it ITA,DF,Juventus,25,1998,29.3,7,0,0,39,15,0,18,17,22,,,2,Matches
223,Francesco Gelli,it ITA,"MF,DF",Frosinone,26,1996,17.3,3,0,0,16,41,1,53,10,13,,,0,Matches
224,Luca Gemello,it ITA,GK,Torino,23,2000,2.0,0,0,0,0,0,0,0,0,0,,,0,Matches
225,Valentin Gendrey,fr FRA,DF,Lecce,23,2000,33.8,5,0,0,27,40,3,61,34,32,,,0,Matches
226,Farés Ghedjemis,fr FRA,FW,Frosinone,20,2002,2.0,1,0,0,2,0,1,6,1,0,,,0,Matches
227,Lautaro Gianetti,ar ARG,DF,Udinese,29,1993,7.0,4,0,0,9,0,0,0,18,4,,,1,Matches
228,Mario Gila,es ESP,DF,Lazio,22,2000,20.1,4,1,1,21,23,1,8,21,14,,,0,Matches
229,Gvidas Gineitis,lt LTU,MF,Torino,19,2004,6.0,2,0,0,9,3,0,22,4,7,,,0,Matches
230,Olivier Giroud,fr FRA,FW,Milan,36,1986,26.3,1,1,0,31,24,14,3,6,11,,,0,Matches
231,Edoardo Goldaniga,it ITA,DF,Cagliari,29,1993,11.2,3,0,0,14,10,3,11,15,7,,,0,Matches
232,Pierluigi Gollini,it ITA,GK,Napoli,28,1995,7.0,0,0,0,0,1,0,0,1,1,,,0,Matches
233,Papu Gómez,ar ARG,"FW,MF",Monza,35,1988,0.5,0,0,0,0,0,0,5,1,0,,,0,Matches
234,Iron Gomis,fr FRA,MF,Salernitana,23,1999,1.5,0,0,0,2,2,1,1,2,1,,,0,Matches
235,Joan Gonzàlez,es ESP,MF,Lecce,21,2002,14.3,6,0,0,15,33,1,10,4,19,,,0,Matches
236,Nicolás González,ar ARG,MF,Fiorentina,25,1998,21.3,1,0,0,21,36,2,40,12,18,,,0,Matches
237,Alberto Grassi,it ITA,MF,Empoli,28,1995,20.1,6,1,1,22,33,0,5,39,17,,,1,Matches
238,Mattéo Guendouzi,fr FRA,MF,Lazio,24,1999,26.3,3,1,0,26,34,0,40,23,15,,,0,Matches
239,Axel Guessand,fr FRA,DF,Udinese,18,2004,0.5,0,0,0,0,1,0,0,0,1,,,0,Matches
240,Albert Guðmundsson,is ISL,"FW,MF",Genoa,26,1997,33.5,4,0,0,28,46,11,179,11,10,,,0,Matches
241,Emmanuel Gyasi,gh GHA,MF,Empoli,29,1994,20.9,8,0,0,40,21,6,22,5,17,,,0,Matches
242,Norbert Gyömbér,sk SVK,DF,Salernitana,31,1992,19.6,9,0,0,33,18,0,0,23,19,,,1,Matches
243,Nicolas Haas,ch SUI,MF,Empoli,27,1996,1.0,1,0,0,1,1,0,0,1,3,,,0,Matches
244,Ridgeciano Haps,sr SUR,MF,Genoa,30,1993,8.6,0,0,0,3,16,1,16,6,6,,,0,Matches
245,Abdou Harroui,nl NED,MF,Frosinone,25,1998,11.3,2,0,0,17,16,1,12,5,11,,,0,Matches
246,Hans Hateboer,nl NED,MF,Atalanta,29,1994,12.4,5,0,0,16,3,0,35,4,5,,,0,Matches
247,Pantelis Hatzidiakos,gr GRE,DF,Cagliari,26,1997,9.5,1,0,0,7,4,0,6,11,11,,,0,Matches
248,Silvan Hefti,ch SUI,MF,Genoa,25,1997,1.3,0,0,0,2,1,0,2,0,1,,,0,Matches
249,Liam Henderson,sct SCO,MF,Empoli,27,1996,0.1,0,0,0,0,0,0,1,0,0,,,0,Matches
250,Matheus Henrique,br BRA,MF,Sassuolo,25,1997,27.8,8,1,1,21,38,2,28,24,29,,,0,Matches
251,Thomas Henry,fr FRA,FW,Hellas Verona,28,1994,3.7,2,2,0,15,5,3,3,0,0,,,0,Matches
252,Theo Hernández,fr FRA,DF,Milan,25,1997,31.0,11,1,0,38,50,2,71,21,17,,,0,Matches
253,Isak Hien,se SWE,DF,Hellas Verona,24,1999,9.6,1,1,0,11,2,0,0,7,10,,,0,Matches
254,Isak Hien,se SWE,DF,Atalanta,24,1999,10.4,3,0,0,18,9,2,0,14,12,,,0,Matches
255,Emil Holm,se SWE,MF,Atalanta,23,2000,10.5,5,0,0,14,21,1,34,7,20,,,0,Matches
256,Martin Hongla,cm CMR,MF,Hellas Verona,25,1998,12.0,0,0,0,6,6,1,4,7,13,,,0,Matches
257,Sydney van Hooijdonk,nl NED,FW,Bologna,23,2000,2.4,0,0,0,6,3,1,1,1,0,,,0,Matches
258,Dean Huijsen,es ESP,DF,Juventus,18,2005,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
259,Dean Huijsen,es ESP,DF,Roma,18,2005,5.7,4,0,0,10,2,0,1,3,5,,,1,Matches
260,Elseid Hysaj,al ALB,DF,Lazio,29,1994,13.3,2,0,0,14,9,3,18,18,14,,,0,Matches
261,Arijon Ibrahimović,de GER,"MF,FW",Frosinone,17,2005,5.3,1,0,0,3,4,2,7,1,6,,,0,Matches
262,Jonathan Ikone,fr FRA,MF,Fiorentina,25,1998,18.7,5,0,0,16,15,5,11,2,12,,,0,Matches
263,Chukwubuikem Ikwuemesi,ng NGA,FW,Salernitana,21,2001,11.8,2,0,0,35,20,9,2,1,1,,,0,Matches
264,Ivan Ilić,rs SRB,MF,Torino,22,2001,23.3,3,0,0,24,25,1,91,20,9,,,0,Matches
265,Samuel Iling-Junior,eng ENG,MF,Juventus,19,2003,9.0,1,0,0,15,5,1,46,6,13,,,0,Matches
266,Ciro Immobile,it ITA,FW,Lazio,33,1990,18.4,8,0,0,22,30,14,7,3,8,,,0,Matches
267,Gino Infantino,ar ARG,MF,Fiorentina,20,2003,1.1,1,0,0,4,2,0,0,3,1,,,0,Matches
268,Gustav Isaksen,dk DEN,"FW,MF",Lazio,22,2001,11.9,3,0,0,17,24,3,29,3,4,,,0,Matches
269,Ardian Ismajli,al ALB,DF,Empoli,26,1996,22.7,2,0,0,18,16,0,4,24,15,,,0,Matches
270,Armando Izzo,it ITA,DF,Monza,31,1992,18.3,9,0,0,32,25,1,3,24,20,,,0,Matches
271,Filip Jagiełło,pl POL,MF,Genoa,25,1997,0.4,0,0,0,0,0,0,0,1,0,,,0,Matches
272,Jakub Jankto,cz CZE,MF,Cagliari,27,1996,9.7,0,0,0,9,8,1,26,5,9,,,0,Matches
273,Juan Jesus,br BRA,DF,Napoli,32,1991,23.5,7,0,0,28,9,0,0,22,20,,,0,Matches
274,Álex Jiménez,es ESP,DF,Milan,18,2005,0.8,1,0,0,2,1,0,1,0,1,,,0,Matches
275,Kaio Jorge,br BRA,FW,Frosinone,21,2002,9.0,2,0,0,8,10,2,3,2,4,,,0,Matches
276,Luka Jović,rs SRB,FW,Milan,25,1997,9.7,2,1,0,8,12,2,1,1,3,,,0,Matches
277,Hamed Junior Traorè,ci CIV,MF,Napoli,23,2000,4.2,1,0,0,4,7,1,7,1,2,,,0,Matches
278,Mohamed Kaba,fr FRA,MF,Lecce,21,2001,15.3,4,1,1,26,21,0,6,12,20,,,0,Matches
279,Christian Kabasele,be BEL,DF,Udinese,32,1991,9.6,5,0,0,15,9,0,2,12,6,,,0,Matches
280,Yayah Kallon,sl SLE,FW,Hellas Verona,22,2001,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
281,Pierre Kalulu,fr FRA,DF,Milan,23,2000,4.2,0,0,0,1,3,0,5,1,1,,,0,Matches
282,Daichi Kamada,jp JPN,MF,Lazio,26,1996,17.2,3,0,0,39,13,2,11,18,36,,,0,Matches
283,Hassane Kamara,ci CIV,MF,Udinese,29,1994,24.7,4,0,0,21,8,6,70,25,32,,,0,Matches
284,Yann Karamoh,fr FRA,MF,Torino,25,1998,1.8,0,0,0,2,3,2,6,0,0,,,0,Matches
285,Jesper Karlsson,se SWE,MF,Bologna,25,1998,3.8,0,0,0,4,1,1,25,3,3,,,0,Matches
286,Rick Karsdorp,nl NED,"MF,DF",Roma,28,1995,13.2,2,0,0,9,9,0,28,9,18,,,0,Matches
287,Grigoris Kastanos,cy CYP,MF,Salernitana,25,1998,16.4,5,0,0,18,44,3,38,6,14,,,0,Matches
288,Michael Kayode,it ITA,DF,Fiorentina,19,2004,22.9,2,0,0,14,19,2,65,18,30,,,0,Matches
289,Moise Kean,it ITA,FW,Juventus,23,2000,7.3,2,0,0,13,13,7,1,2,5,,,0,Matches
290,Simon Kjær,dk DEN,DF,Milan,34,1989,13.0,1,0,0,9,2,0,1,13,15,,,0,Matches
291,Davy Klaassen,nl NED,MF,Inter,30,1993,2.3,1,0,0,3,0,1,0,3,2,,,0,Matches
292,Sead Kolašinac,ba BIH,DF,Atalanta,30,1993,24.2,4,0,0,29,20,1,9,20,32,,,0,Matches
293,Teun Koopmeiners,nl NED,MF,Atalanta,25,1998,29.2,5,0,0,53,23,5,120,9,27,,,0,Matches
294,Filip Kostić,rs SRB,MF,Juventus,30,1992,20.2,2,0,0,19,18,7,168,9,23,,,0,Matches
295,Christian Kouamé,ci CIV,MF,Fiorentina,25,1997,12.1,0,0,0,17,25,0,20,2,3,,,0,Matches
296,Viktor Kovalenko,ua UKR,MF,Empoli,27,1996,6.8,1,0,0,7,10,2,13,2,2,,,0,Matches
297,Rasmus Kristensen,dk DEN,"MF,DF",Roma,26,1997,19.4,5,0,0,14,8,1,43,7,18,,,1,Matches
298,Thomas Kristensen,dk DEN,DF,Udinese,21,2002,23.3,4,1,1,26,7,1,1,29,23,,,0,Matches
299,Nikola Krstović,me MNE,FW,Lecce,23,2000,26.4,4,1,0,45,54,14,4,3,8,,,0,Matches
300,Rade Krunić,ba BIH,MF,Milan,29,1993,7.6,3,0,0,10,11,0,4,11,8,,,0,Matches
301,Marash Kumbulla,al ALB,DF,Sassuolo,23,2000,4.0,1,0,0,3,1,0,0,0,2,,,1,Matches
302,Justin Kumi,it ITA,MF,Sassuolo,19,2004,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
303,Berkan Kutlu,tr TUR,MF,Genoa,25,1998,2.2,0,0,0,4,4,0,12,4,3,,,0,Matches
304,Khvicha Kvaratskhelia,ge GEO,FW,Napoli,22,2001,30.4,8,0,0,25,80,4,99,13,22,,,0,Matches
305,Giorgi Kvernadze,ge GEO,FW,Frosinone,20,2003,0.7,0,0,0,3,1,0,1,1,0,,,0,Matches
306,Giorgos Kyriakopoulos,gr GRE,"MF,DF",Monza,27,1996,19.0,3,0,0,15,14,2,84,12,10,,,0,Matches
307,Gianluca Lapadula,pe PER,FW,Cagliari,33,1990,13.4,3,0,0,22,18,15,7,2,1,,,0,Matches
308,Armand Lauriente,fr FRA,"MF,FW",Sassuolo,24,1998,32.3,5,0,0,34,55,4,134,18,21,,,0,Matches
309,Valentino Lazaro,at AUT,MF,Torino,27,1996,22.2,3,0,0,12,10,1,126,8,11,,,0,Matches
310,Darko Lazović,rs SRB,MF,Hellas Verona,32,1990,21.4,0,1,0,5,6,13,96,6,17,,,0,Matches
311,Manuel Lazzari,it ITA,"DF,MF",Lazio,29,1993,18.6,4,1,0,15,20,1,56,12,19,,,0,Matches
312,Nicola Leali,it ITA,GK,Genoa,30,1993,2.0,1,0,0,0,0,0,0,0,0,,,0,Matches
313,Rafael Leão,pt POR,"MF,FW",Milan,24,1999,27.9,5,0,0,26,52,17,106,9,10,,,0,Matches
314,Jesper Lindstrøm,dk DEN,FW,Napoli,23,2000,4.8,2,0,0,6,4,2,12,2,2,,,0,Matches
315,Karol Linetty,pl POL,MF,Torino,28,1995,20.6,12,0,0,50,18,2,19,23,19,,,0,Matches
316,Luca Lipani,it ITA,MF,Sassuolo,18,2005,4.3,0,0,0,6,1,0,5,6,7,,,0,Matches
317,Pol Lirola,es ESP,"DF,MF",Frosinone,25,1997,17.1,1,0,0,7,11,2,25,18,19,,,0,Matches
318,Marcin Listkowski,pl POL,"FW,MF",Lecce,25,1998,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
319,Diego Llorente,es ESP,DF,Roma,29,1993,24.1,5,0,0,26,23,0,6,22,19,,,0,Matches
320,Stanislav Lobotka,sk SVK,MF,Napoli,28,1994,36.5,4,0,0,33,41,0,3,31,40,,,0,Matches
321,Manuel Locatelli,it ITA,MF,Juventus,25,1998,33.4,6,0,0,41,24,2,10,26,47,,,0,Matches
322,Ruben Loftus-Cheek,eng ENG,MF,Milan,27,1996,23.0,5,0,0,39,45,1,13,10,18,,,0,Matches
323,Ademola Lookman,ng NGA,"FW,MF",Atalanta,25,1997,21.0,4,0,0,28,34,12,69,9,15,,,0,Matches
324,Maxime Lopez,fr FRA,MF,Sassuolo,25,1997,1.6,0,1,0,2,2,0,0,2,1,,,0,Matches
325,Maxime Lopez,fr FRA,MF,Fiorentina,25,1997,8.9,1,0,0,8,5,0,16,7,7,,,0,Matches
326,Matteo Lovato,it ITA,DF,Torino,23,2000,6.0,2,0,0,14,0,0,0,14,6,,,0,Matches
327,Matteo Lovato,it ITA,DF,Salernitana,23,2000,10.5,2,0,0,7,5,0,1,19,14,,,0,Matches
328,Sandi Lovrić,si SVN,MF,Udinese,25,1998,22.1,1,1,0,25,23,1,81,21,13,,,0,Matches
329,Lorenzo Lucca,it ITA,FW,Udinese,22,2000,28.8,6,0,0,52,54,21,8,4,11,,,0,Matches
330,Jhon Lucumí,co COL,DF,Bologna,25,1998,24.6,1,0,0,10,18,1,1,15,29,,,0,Matches
331,José Luis Palomino,ar ARG,DF,Atalanta,33,1990,0.3,0,0,0,0,0,0,0,1,1,,,0,Matches
332,Romelu Lukaku,be BEL,FW,Roma,30,1993,29.3,5,1,0,24,17,25,13,0,6,,,0,Matches
333,Karlo Lulić,hr CRO,MF,Frosinone,27,1996,0.2,0,0,0,0,0,0,0,1,0,,,0,Matches
334,Sebastiano Luperto,it ITA,DF,Empoli,26,1996,37.8,4,0,0,25,18,1,9,28,27,,,0,Matches
335,Mateus Lusuardi,br BRA,DF,Frosinone,19,2004,2.4,1,0,0,2,0,0,1,4,1,,,0,Matches
336,Zito Luvumbo,ao ANG,"MF,FW",Cagliari,21,2002,21.6,5,0,0,31,66,14,82,1,7,,,0,Matches
337,Babis Lykogiannis,gr GRE,DF,Bologna,29,1993,10.0,2,0,0,12,0,2,58,5,6,,,0,Matches
338,Giulio Maggiore,it ITA,MF,Salernitana,25,1998,20.0,9,1,1,39,36,1,3,22,26,,,0,Matches
339,Giangiacomo Magnani,it ITA,DF,Hellas Verona,27,1995,27.2,6,0,0,27,30,0,12,45,17,,,0,Matches
340,Mike Maignan,fr FRA,GK,Milan,28,1995,29.0,1,1,0,1,5,0,0,1,0,,,0,Matches
341,Antoine Makoumbou,cg CGO,MF,Cagliari,25,1998,30.0,5,2,1,28,28,1,11,16,22,,,0,Matches
342,Daniel Maldini,it ITA,"FW,MF",Empoli,21,2001,2.9,1,0,0,8,5,0,5,2,2,,,0,Matches
343,Daniel Maldini,it ITA,MF,Monza,21,2001,3.7,0,0,0,2,5,2,10,2,2,,,0,Matches
344,Youssef Maleh,ma MAR,MF,Empoli,24,1998,28.9,11,0,0,57,37,0,47,23,50,,,0,Matches
345,Ruslan Malinovskyi,ua UKR,"MF,FW",Genoa,30,1993,17.2,7,0,0,30,17,0,19,5,22,,,0,Matches
346,Gianluca Mancini,it ITA,DF,Roma,27,1996,31.9,9,0,0,49,31,0,24,34,19,,,0,Matches
347,Marco Mancosu,it ITA,"MF,FW",Cagliari,34,1988,1.7,0,0,0,3,1,2,4,0,0,,,0,Matches
348,Christos Mandas,gr GRE,GK,Lazio,21,2001,8.0,0,0,0,0,1,0,0,1,0,,,0,Matches
349,Rolando Mandragora,it ITA,MF,Fiorentina,26,1997,17.6,5,0,0,26,25,0,34,9,10,,,0,Matches
350,Kostas Manolas,gr GRE,DF,Salernitana,32,1991,5.4,0,0,0,5,3,0,1,2,6,,,0,Matches
351,Riccardo Marchizza,it ITA,DF,Frosinone,25,1998,12.8,1,0,0,6,3,0,22,7,6,,,0,Matches
352,Gian Marco Ferrari,it ITA,DF,Sassuolo,31,1992,25.2,4,0,0,26,21,0,14,26,11,,,0,Matches
353,Pablo Marí,es ESP,DF,Monza,29,1993,29.1,7,0,0,37,9,0,4,37,26,,,0,Matches
354,Mirko Marić,hr CRO,FW,Monza,28,1995,3.2,0,1,0,4,5,3,1,2,1,,,0,Matches
355,Răzvan Marin,ro ROU,MF,Empoli,27,1996,20.2,3,0,0,28,18,1,97,6,21,,,0,Matches
356,Agustín Martegani,ar ARG,MF,Salernitana,23,2000,8.1,1,0,0,10,14,0,1,4,7,,,0,Matches
357,Aarón Martín,es ESP,"MF,DF",Genoa,26,1997,15.3,4,1,1,23,17,2,105,7,10,,,0,Matches
358,Tommaso Martinelli,it ITA,GK,Fiorentina,17,2006,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
359,Josep Martinez,es ESP,GK,Genoa,25,1998,36.0,4,1,1,2,11,0,0,0,0,,,0,Matches
360,Lautaro Martínez,ar ARG,FW,Inter,25,1997,29.5,5,0,0,46,59,12,16,17,14,,,0,Matches
361,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,27,1996,25.5,9,0,0,41,13,1,5,29,52,,,0,Matches
362,Adam Marušić,me MNE,"DF,MF",Lazio,30,1992,34.4,3,1,0,24,10,4,44,28,32,,,0,Matches
363,Adam Masina,ma MAR,MF,Udinese,29,1994,0.7,2,0,0,3,0,0,0,2,0,,,0,Matches
364,Adam Masina,ma MAR,DF,Torino,29,1994,11.4,0,0,0,18,5,0,4,11,12,,,0,Matches
365,Alan Matturro,uy URU,MF,Genoa,18,2004,1.2,0,0,0,0,0,0,0,2,1,,,1,Matches
366,Luca Mazzitelli,it ITA,MF,Frosinone,27,1995,24.6,6,1,1,45,36,1,43,20,26,,,0,Matches
367,Pasquale Mazzocchi,it ITA,"MF,DF",Salernitana,28,1995,14.1,4,0,0,23,9,3,44,4,18,,,0,Matches
368,Pasquale Mazzocchi,it ITA,"DF,MF",Napoli,28,1995,4.8,0,1,0,9,7,0,14,1,3,,,0,Matches
369,Jordi Mboula,es ESP,"MF,FW",Hellas Verona,24,1999,3.4,0,0,0,5,4,2,8,1,3,,,0,Matches
370,Weston McKennie,us USA,MF,Juventus,24,1998,28.8,6,0,0,23,12,6,59,19,29,,,0,Matches
371,Arthur Melo,br BRA,MF,Fiorentina,26,1996,22.1,2,0,0,18,47,0,21,19,29,,,0,Matches
372,Leonardo Mendicino,it ITA,MF,Atalanta,17,2006,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
373,Alex Meret,it ITA,GK,Napoli,26,1997,30.8,0,0,0,0,3,0,0,0,0,,,0,Matches
374,Junior Messias,br BRA,"MF,FW",Genoa,32,1991,11.7,0,0,0,7,22,5,24,5,19,,,0,Matches
375,Nikola Milenković,rs SRB,DF,Fiorentina,25,1997,27.9,4,0,0,30,23,0,0,27,19,,,0,Matches
376,Arkadiusz Milik,pl POL,FW,Juventus,29,1994,10.2,2,1,0,21,26,11,4,5,6,,,0,Matches
377,Vanja Milinković-Savić,rs SRB,GK,Torino,26,1997,36.0,2,0,0,0,2,0,0,1,0,,,0,Matches
378,Yerry Mina,co COL,DF,Fiorentina,28,1994,0.5,1,0,0,3,2,0,0,0,1,,,0,Matches
379,Yerry Mina,co COL,DF,Cagliari,28,1994,13.5,4,0,0,17,18,0,2,4,13,,,0,Matches
380,Aleksei Miranchuk,ru RUS,"MF,FW",Atalanta,27,1995,13.1,1,0,0,12,31,3,83,3,6,,,0,Matches
381,Kevin Miranda,it ITA,DF,Sassuolo,20,2003,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
382,Antonio Mirante,it ITA,GK,Milan,40,1983,2.0,0,0,0,0,0,0,0,0,0,,,0,Matches
383,Fabio Miretti,it ITA,MF,Juventus,19,2003,12.3,3,0,0,22,29,1,32,8,15,,,0,Matches
384,Filippo Missori,it ITA,MF,Sassuolo,19,2004,3.0,0,0,0,1,2,0,5,3,3,,,0,Matches
385,Stefan Mitrović,rs SRB,MF,Hellas Verona,20,2002,4.3,0,0,0,10,6,1,15,0,3,,,0,Matches
386,Henrikh Mkhitaryan,am ARM,MF,Inter,34,1989,30.9,4,0,0,35,29,3,31,28,33,,,0,Matches
387,Ilario Monterisi,it ITA,DF,Frosinone,21,2001,16.3,1,0,0,10,17,1,5,8,13,,,0,Matches
388,Lorenzo Montipò,it ITA,GK,Hellas Verona,27,1996,37.0,0,0,0,0,3,0,0,0,1,,,0,Matches
389,Nikola Moro,hr CRO,"MF,FW",Bologna,25,1998,9.3,0,0,0,12,9,0,13,7,17,,,0,Matches
390,Dany Mota,pt POR,"MF,FW",Monza,25,1998,22.8,3,0,0,22,28,6,90,2,7,,,0,Matches
391,Samuele Mulattieri,it ITA,FW,Sassuolo,22,2000,5.1,1,0,0,7,5,0,0,1,1,,,0,Matches
392,Luis Muriel,co COL,FW,Atalanta,32,1991,4.5,0,0,0,6,14,1,31,1,2,,,0,Matches
393,Yunus Musah,us USA,MF,Milan,20,2002,16.4,5,0,0,22,21,2,27,11,14,,,0,Matches
394,Juan Musso,ar ARG,GK,Atalanta,29,1994,11.0,0,0,0,1,0,0,0,0,0,,,0,Matches
395,Kingstone Mutandwa,zm ZAM,FW,Cagliari,20,2003,0.4,0,0,0,0,0,0,0,0,0,,,0,Matches
396,Obite N'Dicka,ci CIV,DF,Roma,23,1999,24.1,6,0,0,26,16,0,11,15,18,,,0,Matches
397,Nahitan Nández,uy URU,"MF,DF",Cagliari,27,1995,26.0,7,0,0,52,32,9,154,19,40,,,0,Matches
398,Natan,br BRA,DF,Napoli,22,2001,10.6,3,1,1,13,6,0,5,8,11,,,0,Matches
399,Lapo Nava,it ITA,GK,Milan,19,2004,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
400,Michel Ndary Adopo,fr FRA,MF,Atalanta,23,2000,1.2,0,0,0,2,1,1,1,0,3,,,0,Matches
401,Dan Ndoye,ch SUI,"MF,FW",Bologna,22,2000,19.7,4,0,0,29,56,7,47,10,15,,,0,Matches
402,Cyril Ngonge,be BEL,"MF,FW",Hellas Verona,23,2000,15.9,4,0,0,30,22,3,50,3,10,,,0,Matches
403,Cyril Ngonge,be BEL,FW,Napoli,23,2000,3.5,2,0,0,2,10,1,21,0,3,,,0,Matches
404,M'Baye Niang,sn SEN,FW,Empoli,28,1994,7.9,1,0,0,15,24,9,4,3,2,,,0,Matches
405,Hans Nicolussi Caviglia,it ITA,MF,Juventus,23,2000,3.0,1,0,0,1,10,0,18,0,2,,,0,Matches
406,Joseph Nonge,be BEL,MF,Juventus,18,2005,0.3,1,0,0,3,1,0,0,0,0,,,0,Matches
407,Tijjani Noslin,nl NED,"FW,MF",Hellas Verona,24,1999,14.9,2,0,0,24,10,4,15,2,7,,,0,Matches
408,Simeon Nwankwo,ng NGA,FW,Salernitana,31,1992,7.6,0,0,0,11,17,2,0,0,3,,,0,Matches
409,M'Bala Nzola,ao ANG,FW,Fiorentina,26,1996,17.2,2,0,0,37,7,21,6,0,8,,,0,Matches
